"",BBDE1.Q.DE.Y.AFA1.A2P300000.G.N.R00.A,BBDE1.Q.DE.Y.AFA1.A2P300000.G.N.R00.A_FLAGS
"",Bundesbank calculations based on figures from the Federal Statistical Office and from the Ifo Institute.,
unit,Prozent (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-06 10:41:29,
2005-01,-1.2,
2005-04,-0.5,
2005-07,2.9,
2005-10,4.2,
2006-01,5.9,
2006-04,8.3,
2006-07,9.7,
2006-10,9.7,
2007-01,12.2,
2007-04,11.9,
2007-07,10.1,
2007-10,14.8,
2008-01,10.2,
2008-04,7.5,
2008-07,2.9,
2008-10,-12.2,
2009-01,-20.0,
2009-04,-19.0,
2009-07,-13.4,
2009-10,-11.6,
2010-01,-6.3,
2010-04,-1.2,
2010-07,2.4,
2010-10,2.2,
2011-01,5.5,
2011-04,6.0,
2011-07,2.0,
2011-10,0.4,
2012-01,-1.8,
2012-04,-1.5,
2012-07,-5.1,
2012-10,-2.2,
2013-01,-1.9,
2013-04,-2.5,
2013-07,-0.2,
2013-10,0.7,
2014-01,0.9,
2014-04,2.2,
2014-07,1.7,
2014-10,2.5,Provisional value
