"",BBK01.OEYI01M,BBK01.OEYI01M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:36,
2002-01,56.300,
2002-04,56.811,
2002-07,55.555,
2002-10,56.672,
2003-01,57.494,
2003-04,58.314,
2003-07,59.328,
2003-10,56.579,
2004-01,56.493,
2004-04,59.066,
2004-07,60.298,
2004-10,61.650,
2005-01,62.867,
2005-04,64.389,
2005-07,66.268,
2005-10,68.174,
2006-01,68.023,
2006-04,66.965,
2006-07,68.528,
2006-10,69.980,
2007-01,70.816,
2007-04,69.756,
2007-07,70.532,
2007-10,72.031,
2008-01,73.138,
2008-04,74.044,
2008-07,73.611,
2008-10,78.089,
2009-01,76.962,
2009-04,72.743,
2009-07,74.398,
2009-10,71.772,
2010-01,71.078,
2010-04,74.857,
2010-07,73.764,
2010-10,71.829,
2011-01,73.573,
2011-04,74.188,
2011-07,74.832,
2011-10,75.851,
2012-01,77.552,
2012-04,80.081,
2012-07,75.921,
2012-10,76.568,
2013-01,72.799,
2013-04,75.271,
2013-07,68.783,
2013-10,70.648,
2014-01,73.229,
2014-04,70.149,
2014-07,73.643,
