"",BBK01.OEXB21O,BBK01.OEXB21O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:16,
2002-01,-14.927,
2002-04,-14.823,
2002-07,-14.596,
2002-10,-12.696,
2003-01,-12.192,
2003-04,-11.727,
2003-07,-11.777,
2003-10,-10.412,
2004-01,-10.780,
2004-04,-10.033,
2004-07,-8.249,
2004-10,-7.803,
2005-01,0.568,
2005-04,0.348,
2005-07,0.348,
2005-10,0.249,
2006-01,0.243,
2006-04,0.012,
2006-07,0.227,
2006-10,0.206,
2007-01,0.098,
2007-04,0.002,
2007-07,0.003,
2007-10,0.002,
2008-01,0.053,
2008-04,0.074,
2008-07,0.074,
2008-10,0.084,
2009-01,0.085,
2009-04,0.094,
2009-07,0.141,
2009-10,0.144,
2010-01,0.293,
2010-04,0.299,
2010-07,0.360,
2010-10,0.348,
2011-01,0.058,
2011-04,0.051,
2011-07,0.006,
2011-10,0.006,
2012-01,0.006,
2012-04,0.006,
2012-07,0.005,
2012-10,0.005,
2013-01,0.006,
2013-04,0.008,
2013-07,0.006,
2013-10,0.005,
2014-01,0.006,
2014-04,0.006,
2014-07,0.004,
