"",BBK01.OEAI04T,BBK01.OEAI04T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:51:28,
2002-01,2.815,
2002-04,2.702,
2002-07,2.593,
2002-10,2.503,
2003-01,2.454,
2003-04,2.240,
2003-07,2.205,
2003-10,2.212,
2004-01,2.198,
2004-04,1.976,
2004-07,2.035,
2004-10,2.200,
2005-01,2.107,
2005-04,2.079,
2005-07,2.120,
2005-10,2.268,
2006-01,2.338,
2006-04,2.240,
2006-07,2.480,
2006-10,2.859,
2007-01,2.793,
2007-04,2.918,
2007-07,3.282,
2007-10,3.075,
2008-01,3.242,
2008-04,3.810,
2008-07,3.822,
2008-10,3.578,
2009-01,2.839,
2009-04,2.235,
2009-07,1.947,
2009-10,1.662,
2010-01,1.623,
2010-04,1.519,
2010-07,1.435,
2010-10,1.457,
2011-01,1.462,
2011-04,1.501,
2011-07,1.688,
2011-10,2.002,
2012-01,2.307,
2012-04,2.062,
2012-07,2.361,
2012-10,2.217,
2013-01,2.268,
2013-04,1.886,
2013-07,1.798,
2013-10,1.703,
2014-01,1.868,
2014-04,1.930,
2014-07,1.736,
