"",BBFB1.M.N.DE.W1.S1.S1.T.D.D4P.P.F._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.D.D4P.P.F._Z._T._X.N_FLAGS
"",Current account / Primary income / Investment income / Portfolio investment / Expenditure / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:38:19,
1991-01,702.855,
1991-02,735.758,
1991-03,806.744,
1991-04,879.679,
1991-05,1113.303,
1991-06,1291.932,
1991-07,1192.963,
1991-08,891.916,
1991-09,853.553,
1991-10,910.131,
1991-11,1112.737,
1991-12,1017.212,
1992-01,903.843,
1992-02,962.371,
1992-03,1121.152,
1992-04,1175.415,
1992-05,1379.811,
1992-06,1230.433,
1992-07,1332.611,
1992-08,1149.824,
1992-09,1109.844,
1992-10,1176.357,
1992-11,1506.794,
1992-12,1397.213,
1993-01,1424.764,
1993-02,1616.378,
1993-03,1773.031,
1993-04,1838.445,
1993-05,2181.378,
1993-06,1854.148,
1993-07,1896.486,
1993-08,1927.617,
1993-09,1840.066,
1993-10,1827.064,
1993-11,2388.852,
1993-12,2189.913,
1994-01,2005.415,
1994-02,1981.115,
1994-03,2057.063,
1994-04,1956.057,
1994-05,2466.054,
1994-06,1996.104,
1994-07,1964.495,
1994-08,1904.804,
1994-09,1783.106,
1994-10,1879.663,
1994-11,2387.032,
1994-12,2172.046,
1995-01,2101.291,
1995-02,2083.710,
1995-03,2084.134,
1995-04,2186.574,
1995-05,2735.791,
1995-06,2311.855,
1995-07,2284.081,
1995-08,2231.385,
1995-09,2135.518,
1995-10,2157.793,
1995-11,2819.893,
1995-12,2407.913,
1996-01,2263.999,
1996-02,2395.875,
1996-03,2253.616,
1996-04,2489.155,
1996-05,2884.221,
1996-06,2479.190,
1996-07,2466.474,
1996-08,2325.582,
1996-09,2277.586,
1996-10,2312.971,
1996-11,2854.036,
1996-12,2510.898,
1997-01,2406.118,
1997-02,2724.943,
1997-03,2555.596,
1997-04,2459.519,
1997-05,3409.190,
1997-06,2850.800,
1997-07,2750.927,
1997-08,2503.902,
1997-09,2442.546,
1997-10,2385.005,
1997-11,2864.829,
1997-12,2759.839,
1998-01,2422.027,
1998-02,2892.079,
1998-03,2675.484,
1998-04,2733.885,
1998-05,3953.415,
1998-06,4824.696,
1998-07,2977.340,
1998-08,2756.930,
1998-09,2615.044,
1998-10,2657.890,
1998-11,3119.840,
1998-12,2877.118,
1999-01,3256.495,
1999-02,3344.716,
