"",BBFN1.M.DE.N.1.L.UA.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.UA.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from trade credit / Total / Ukraine,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:19:01,
1994-07,0.233,
1994-08,0.248,
1994-09,0.268,
1994-10,0.271,
1994-11,0.281,
1994-12,0.263,
1995-01,0.237,
1995-02,0.253,
1995-03,0.261,
1995-04,0.274,
1995-05,0.281,
1995-06,0.299,
1995-07,0.303,
1995-08,0.306,
1995-09,0.294,
1995-10,0.347,
1995-11,0.347,
1995-12,0.340,
1996-01,0.348,
1996-02,0.357,
1996-03,0.340,
1996-04,0.338,
1996-05,0.360,
1996-06,0.338,
1996-07,0.360,
1996-08,0.358,
1996-09,0.256,
1996-10,0.211,
1996-11,0.211,
1996-12,0.230,
1997-01,0.231,
1997-02,0.220,
1997-03,0.236,
1997-04,0.249,
1997-05,0.264,
1997-06,0.285,
1997-07,0.295,
1997-08,0.245,
1997-09,0.259,
1997-10,0.253,
1997-11,0.253,
1997-12,0.267,
1998-01,0.286,
1998-02,0.297,
1998-03,0.306,
1998-04,0.283,
1998-05,0.295,
1998-06,0.273,
1998-07,0.261,
1998-08,0.272,
1998-09,0.169,
1998-10,0.173,
1998-11,0.168,
1998-12,0.125,
1999-01,0.128,
1999-02,0.099,
1999-03,0.105,
1999-04,0.100,
1999-05,0.105,
1999-06,0.105,
1999-07,0.111,
1999-08,0.106,
1999-09,0.106,
1999-10,0.116,
1999-11,0.116,
1999-12,0.113,
2000-01,0.120,
2000-02,0.112,
2000-03,0.124,
2000-04,0.129,
2000-05,0.117,
2000-06,0.133,
2000-07,0.130,
2000-08,0.141,
2000-09,0.137,
2000-10,0.139,
2000-11,0.133,
2000-12,0.130,
2001-01,0.131,
2001-02,0.140,
2001-03,0.139,
2001-04,0.148,
2001-05,0.148,
2001-06,0.153,
2001-07,0.116,
2001-08,0.112,
2001-09,0.122,
2001-10,0.122,
2001-11,0.144,
2001-12,0.133,
2002-01,0.125,
2002-02,0.145,
2002-03,0.144,
2002-04,0.148,
2002-05,0.164,
2002-06,0.151,
2002-07,0.156,
2002-08,0.164,
2002-09,0.157,
2002-10,0.160,
2002-11,0.160,
2002-12,0.153,
2003-01,0.163,
2003-02,0.158,
2003-03,0.152,
2003-04,0.156,
2003-05,0.159,
2003-06,0.169,
2003-07,0.171,
2003-08,0.174,
2003-09,0.180,
2003-10,0.202,
2003-11,0.178,
2003-12,0.172,
2004-01,0.202,
2004-02,0.181,
2004-03,0.190,
2004-04,0.198,
2004-05,0.205,
2004-06,0.205,
2004-07,0.206,
2004-08,0.221,
2004-09,0.206,
2004-10,0.213,
2004-11,0.191,
2004-12,0.185,
2005-01,0.218,
2005-02,0.196,
2005-03,0.242,
2005-04,0.241,
2005-05,0.246,
2005-06,0.264,
2005-07,0.233,
2005-08,0.241,
2005-09,0.245,
2005-10,0.220,
2005-11,0.341,
2005-12,0.394,
2006-01,0.385,
2006-02,0.381,
2006-03,0.388,
2006-04,0.262,
2006-05,0.270,
2006-06,0.237,
2006-07,0.265,
2006-08,0.274,
2006-09,0.302,
2006-10,0.297,
2006-11,0.290,
2006-12,0.304,
2007-01,0.304,
2007-02,0.297,
2007-03,0.290,
2007-04,0.342,
2007-05,0.349,
2007-06,0.341,
2007-07,0.323,
2007-08,0.339,
2007-09,0.362,
2007-10,0.391,
2007-11,0.397,
2007-12,0.437,
2008-01,0.409,
2008-02,0.425,
2008-03,0.475,
2008-04,0.507,
2008-05,0.530,
2008-06,0.529,
2008-07,0.524,
2008-08,0.547,
2008-09,0.569,
2008-10,0.566,
2008-11,0.525,
2008-12,0.442,
2009-01,0.432,
2009-02,0.454,
2009-03,0.477,
2009-04,0.451,
2009-05,0.455,
2009-06,0.450,
2009-07,0.478,
2009-08,0.519,
2009-09,0.524,
2009-10,0.483,
2009-11,0.489,
2009-12,0.451,
2010-01,0.426,
2010-02,0.469,
2010-03,0.467,
2010-04,0.487,
2010-05,0.502,
2010-06,0.516,
2010-07,0.508,
2010-08,0.422,
2010-09,0.443,
2010-10,0.447,
2010-11,0.439,
2010-12,0.446,
2011-01,0.442,
2011-02,0.463,
2011-03,0.470,
2011-04,0.493,
2011-05,0.494,
2011-06,0.521,
2011-07,0.518,
2011-08,0.522,
2011-09,0.524,
2011-10,0.483,
2011-11,0.482,
2011-12,0.415,
2012-01,0.392,
2012-02,0.369,
2012-03,0.381,
2012-04,0.372,
2012-05,0.380,
2012-06,0.323,
2012-07,0.299,
2012-08,0.328,
2012-09,0.329,
2012-10,0.304,
2012-11,0.272,
2012-12,0.275,
2013-01,0.267,
2013-02,0.277,
2013-03,0.293,
2013-04,0.271,
2013-05,0.266,
2013-06,0.266,
2013-07,0.239,
2013-08,0.234,
2013-09,0.219,
2013-10,0.264,
2013-11,0.262,
2013-12,0.263,
2014-01,0.222,
2014-02,0.227,
2014-03,0.221,
2014-04,0.219,
2014-05,0.226,
2014-06,0.204,
2014-07,0.216,
2014-08,0.244,
2014-09,0.291,
2014-10,0.341,
2014-11,0.351,
2014-12,0.446,
