"",BBK01.OEAA07T,BBK01.OEAA07T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:20:19,
2002-01,18.959,
2002-04,19.060,
2002-07,19.101,
2002-10,19.371,
2003-01,20.293,
2003-04,20.286,
2003-07,20.434,
2003-10,20.345,
2004-01,20.633,
2004-04,20.686,
2004-07,20.373,
2004-10,20.310,
2005-01,20.920,
2005-04,20.934,
2005-07,20.891,
2005-10,20.904,
2006-01,20.801,
2006-04,20.994,
2006-07,21.118,
2006-10,21.232,
2007-01,21.146,
2007-04,20.937,
2007-07,21.039,
2007-10,21.001,
2008-01,20.931,
2008-04,20.987,
2008-07,21.333,
2008-10,21.633,
2009-01,21.541,
2009-04,22.248,
2009-07,22.357,
2009-10,22.626,
2010-01,22.614,
2010-04,22.722,
2010-07,23.392,
2010-10,23.408,
2011-01,23.584,
2011-04,23.796,
2011-07,24.139,
2011-10,24.326,
2012-01,24.724,
2012-04,24.956,
2012-07,25.215,
2012-10,25.462,
2013-01,25.953,
2013-04,25.544,
2013-07,25.644,
2013-10,25.603,
2014-01,25.768,
2014-04,26.050,
2014-07,26.296,
