"",BBK01.OEAD21K,BBK01.OEAD21K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:58:40,
2002-01,0.845,
2002-04,0.806,
2002-07,0.824,
2002-10,0.885,
2003-01,0.878,
2003-04,0.841,
2003-07,0.885,
2003-10,0.958,
2004-01,0.966,
2004-04,1.073,
2004-07,1.106,
2004-10,0.939,
2005-01,0.787,
2005-04,0.764,
2005-07,0.730,
2005-10,0.709,
2006-01,0.701,
2006-04,0.717,
2006-07,0.670,
2006-10,0.661,
2007-01,0.630,
2007-04,0.592,
2007-07,0.619,
2007-10,0.661,
2008-01,0.855,
2008-04,1.006,
2008-07,1.040,
2008-10,0.985,
2009-01,1.005,
2009-04,1.064,
2009-07,0.990,
2009-10,0.958,
2010-01,0.877,
2010-04,0.811,
2010-07,0.880,
2010-10,0.856,
2011-01,0.830,
2011-04,0.825,
2011-07,0.823,
2011-10,0.771,
2012-01,0.847,
2012-04,0.792,
2012-07,0.838,
2012-10,0.760,
2013-01,0.796,
2013-04,0.840,
2013-07,0.859,
2013-10,0.874,
2014-01,0.861,
2014-04,0.946,
2014-07,0.909,
