"",BBSF2.M.1.S.00000.GEL01.I.F.GMP.U201.00000.F33100.Z01.B1,BBSF2.M.1.S.00000.GEL01.I.F.GMP.U201.00000.F33100.Z01.B1_FLAGS
"","Special investors funds / Money market funds / Short-term debt securities / Euro area member states excluding Germany (changing composition, Bundesbank calculation)",
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:41:21,
2009-09,68,
2009-10,78,
2009-11,78,
2009-12,100,
2010-01,51,
2010-02,44,
2010-03,104,
2010-04,111,
2010-05,107,
2010-06,122,
2010-07,98,
2010-08,99,
2010-09,78,
2010-10,78,
2010-11,76,
2010-12,84,
2011-01,97,
2011-02,98,
2011-03,98,
2011-04,112,
2011-05,98,
2011-06,80,
2011-07,52,
2011-08,27,
2011-09,1,
2011-10,1,
2011-11,0,
2011-12,1,
2012-01,0,
2012-02,0,
2012-03,-,Nothing exists
2012-04,0,
2012-05,0,
2012-06,1,
2012-07,0,
2012-08,0,
2012-09,0,
2012-10,1,
2012-11,1,
2012-12,1,
2013-01,2,
2013-02,2,
2013-03,32,
2013-04,32,
2013-05,32,
2013-06,1,
2013-07,1,
2013-08,1,
2013-09,1,
2013-10,1,
2013-11,1,
2013-12,2,
2014-01,2,
2014-02,2,
2014-03,2,
2014-04,2,
2014-05,2,
2014-06,2,
2014-07,3,
2014-08,2,
2014-09,2,
2014-10,2,
2014-11,2,
