"",BBK01.OEAH86O,BBK01.OEAH86O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:28:20,
2002-01,0.213,
2002-04,0.227,
2002-07,0.226,
2002-10,0.249,
2003-01,0.297,
2003-04,0.184,
2003-07,0.163,
2003-10,0.158,
2004-01,0.165,
2004-04,0.302,
2004-07,0.091,
2004-10,0.179,
2005-01,0.499,
2005-04,0.804,
2005-07,0.823,
2005-10,0.862,
2006-01,0.970,
2006-04,1.137,
2006-07,1.126,
2006-10,0.981,
2007-01,0.938,
2007-04,1.094,
2007-07,1.074,
2007-10,1.905,
2008-01,1.644,
2008-04,1.155,
2008-07,1.060,
2008-10,1.003,
2009-01,0.937,
2009-04,0.823,
2009-07,1.042,
2009-10,1.054,
2010-01,1.148,
2010-04,1.149,
2010-07,1.145,
2010-10,1.257,
2011-01,1.170,
2011-04,1.220,
2011-07,1.326,
2011-10,1.494,
2012-01,1.503,
2012-04,1.565,
2012-07,1.561,
2012-10,1.784,
2013-01,1.771,
2013-04,1.803,
2013-07,1.543,
2013-10,1.651,
2014-01,1.590,
2014-04,1.489,
2014-07,1.593,
