"",BBK01.OEAA49U,BBK01.OEAA49U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:20:59,
2002-01,0.185,
2002-04,0.166,
2002-07,0.169,
2002-10,0.161,
2003-01,0.159,
2003-04,0.151,
2003-07,0.149,
2003-10,0.145,
2004-01,0.144,
2004-04,0.101,
2004-07,0.100,
2004-10,0.100,
2005-01,0.103,
2005-04,0.101,
2005-07,0.101,
2005-10,0.103,
2006-01,0.095,
2006-04,0.095,
2006-07,0.095,
2006-10,0.110,
2007-01,0.106,
2007-04,0.105,
2007-07,0.110,
2007-10,0.121,
2008-01,0.117,
2008-04,0.144,
2008-07,0.163,
2008-10,0.162,
2009-01,0.160,
2009-04,0.225,
2009-07,0.223,
2009-10,0.373,
2010-01,0.390,
2010-04,0.339,
2010-07,0.255,
2010-10,0.276,
2011-01,0.278,
2011-04,0.255,
2011-07,0.243,
2011-10,0.249,
2012-01,0.262,
2012-04,0.259,
2012-07,0.266,
2012-10,0.257,
2013-01,0.270,
2013-04,0.354,
2013-07,0.299,
2013-10,0.316,
2014-01,0.322,
2014-04,0.325,
2014-07,0.425,
