"",BBEX3.M.KHR.USD.CA.AA.A01,BBEX3.M.KHR.USD.CA.AA.A01_FLAGS
"",Exchange rates for the US dollar in Cambodia / USD 1 = KHR ... (buying),
unit,KHR (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:18:29,
1985-12,30.00,
1986-01,30.00,
1986-02,30.00,
1986-03,30.00,
1986-04,30.00,
1986-05,30.00,
1986-06,30.00,
1986-07,30.00,
1986-08,30.00,
1986-09,30.00,
1986-10,30.00,
1986-11,30.00,
1986-12,30.00,
1987-01,30.00,
1987-02,30.00,
1987-03,30.00,
1987-04,30.00,
1987-05,30.00,
1987-06,30.00,
1987-07,30.00,
1987-08,30.00,
1987-09,100.00,comment
1987-10,100.00,
1987-11,100.00,
1987-12,100.00,
1988-01,100.00,
1988-02,100.00,
1988-03,100.00,
1988-04,100.00,
1988-05,100.00,
1988-06,100.00,
1988-07,100.00,
1988-08,100.00,
1988-09,100.00,
1988-10,142.00,comment
1988-11,142.00,
1988-12,150.00,
1989-01,150.00,
1989-02,150.00,
1989-03,150.00,
1989-04,150.00,
1989-05,150.00,
1989-06,150.00,
1989-07,190.00,
1989-08,190.00,
1989-09,190.00,
1989-10,216.00,
1989-11,216.00,
1989-12,216.00,
1990-01,360.00,
1990-02,360.00,
1990-03,360.00,
1990-04,380.00,
1990-05,380.00,
1990-06,380.00,
1990-07,380.00,
1990-08,510.00,comment
1990-09,510.00,
1990-10,600.00,comment
1990-11,600.00,
1990-12,600.00,
1991-01,600.00,
1991-02,600.00,
1991-03,600.00,
1991-04,600.00,
1991-05,600.00,
1991-06,600.00,
1991-07,800.00,comment
1991-08,800.00,
1991-09,1000.00,comment
1991-10,1000.00,
1991-11,800.00,
1991-12,520.00,
1992-01,740.00,
1992-02,740.00,
1992-03,880.00,
1992-04,850.00,
1992-05,1000.00,
1992-06,1000.00,
1992-07,1190.00,
1992-08,1430.00,
1992-09,1430.00,
1992-10,2000.00,
1992-11,2000.00,
1992-12,2000.00,
1993-01,2185.00,
1993-02,2375.00,
1993-03,2375.00,
1993-04,3800.00,
1993-05,4000.00,
1993-06,2700.00,
1993-07,2700.00,
1993-08,2574.00,
1993-09,2617.00,
1993-10,2635.00,
1993-11,2200.00,
1993-12,2390.00,
1994-01,2480.00,
1994-02,2470.00,
1994-03,2480.00,
1994-04,2510.00,
1994-05,2565.00,
1994-06,2515.00,
1994-07,2525.00,
1994-08,2580.00,
1994-09,2605.00,
1994-10,2700.00,
1994-11,2605.00,
1994-12,2575.00,
1995-01,2575.00,
1995-02,2600.00,
1995-03,2400.00,
1995-04,2294.00,
1995-05,2300.00,
1995-06,2341.00,
1995-07,2422.00,
1995-08,2462.00,
1995-09,2496.00,
1995-10,2519.00,
1995-11,2519.00,
1995-12,2526.00,
1996-01,2549.00,
1996-02,2549.00,
1996-03,2558.00,
1996-04,2576.00,
1996-05,2580.00,
1996-06,2619.00,
1996-07,2670.00,
1996-08,2665.00,
1996-09,2687.00,
1996-10,2701.00,
1996-11,2692.00,
1996-12,2713.00,
1997-01,2732.00,
1997-02,2743.00,
1997-03,2735.00,
1997-04,2744.00,
1997-05,2751.00,
1997-06,2761.00,
1997-07,2900.00,
1997-08,3000.00,
1997-09,3192.00,
1997-10,3409.00,
1997-11,3402.00,
1997-12,3452.00,
