"",BBK01.XU8847,BBK01.XU8847_FLAGS
"",Germany / Imports / Product Classification for Production Statistics from 2002 / Machines / 1 /,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-20 10:38:52,
1995-01,1754980,
1995-02,1776172,
1995-03,2128784,
1995-04,1833451,
1995-05,2056685,
1995-06,2141496,
1995-07,2002069,
1995-08,1759309,
1995-09,2033579,
1995-10,2095828,
1995-11,2194438,
1995-12,2214338,
1996-01,2025252,
1996-02,2039838,
1996-03,2118250,
1996-04,2193723,
1996-05,2028889,
1996-06,2231906,
1996-07,2238245,
1996-08,1787582,
1996-09,1960659,
1996-10,2271265,
1996-11,2118977,
1996-12,2284234,
1997-01,1997363,
1997-02,2013736,
1997-03,2074461,
1997-04,2286570,
1997-05,2198390,
1997-06,2303540,
1997-07,2472395,
1997-08,1981925,
1997-09,2316108,
1997-10,2453700,
1997-11,2501202,
1997-12,2478503,
1998-01,2507813,
1998-02,2430849,
1998-03,2728574,
1998-04,2780274,
1998-05,2459947,
1998-06,2687310,
1998-07,2974577,
1998-08,2291256,
1998-09,2441070,
1998-10,2819240,
1998-11,2634768,
1998-12,2583070,
1999-01,2441370,
1999-02,2490748,
1999-03,2915623,
1999-04,2774299,
1999-05,2717997,
1999-06,3014061,
1999-07,2745429,
1999-08,2340391,
1999-09,2742812,
1999-10,2864596,
1999-11,2999364,
1999-12,2873134,
2000-01,3001866,
2000-02,2850420,
2000-03,3391789,
2000-04,2890972,
2000-05,3436435,
2000-06,3095293,
2000-07,3166370,
2000-08,2990324,
2000-09,3118372,
2000-10,3562858,
2000-11,3758726,
2000-12,3422793,
2001-01,3337664,
2001-02,3235497,
2001-03,3554101,
2001-04,3540305,
2001-05,3542437,
2001-06,3486266,
2001-07,3516773,
2001-08,3068491,
2001-09,3144972,
2001-10,3577793,
2001-11,3424124,
2001-12,2944101,
2002-01,3004085,
2002-02,3000333,
2002-03,3168021,
2002-04,3350884,
2002-05,3130228,
2002-06,3373980,
2002-07,3384776,
2002-08,2910708,
2002-09,3065409,
2002-10,3562092,
2002-11,3394245,
2002-12,2971635,
2003-01,3138407,
2003-02,3142104,
2003-03,3380464,
2003-04,3404308,
2003-05,3358462,
2003-06,3225324,
2003-07,3270851,
2003-08,2638971,
2003-09,3164705,
2003-10,3405360,
2003-11,3455725,
2003-12,3175202,
2004-01,3116935,
2004-02,3090567,
2004-03,3683890,
2004-04,3586082,
2004-05,3241087,
2004-06,3387998,
2004-07,3518701,
2004-08,3197408,
2004-09,3529543,
2004-10,3633075,
2004-11,3915670,
2004-12,3594367,
2005-01,3308344,
2005-02,3414498,
2005-03,3639287,
2005-04,3851013,
2005-05,3864507,
2005-06,4099573,
2005-07,3725761,
2005-08,3563065,
2005-09,3747108,
2005-10,3820133,
2005-11,4089988,
2005-12,4075422,
2006-01,4144598,
2006-02,3859333,
2006-03,4709514,
2006-04,4254068,
2006-05,4410029,
2006-06,4438809,
2006-07,4333062,
2006-08,4035967,
2006-09,4311292,
2006-10,4862087,
2006-11,4757844,
2006-12,4687112,
2007-01,4317606,
2007-02,4638714,
2007-03,5041171,
2007-04,4919007,
2007-05,4567294,
2007-06,4951777,
2007-07,4845318,
2007-08,4685229,
2007-09,4816624,
2007-10,5160491,
2007-11,5113144,
2007-12,4732420,
"",General: 1 Source: Federal Statistical Office.,
