"",BBK01.OECB02H,BBK01.OECB02H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:25:51,
2002-01,24.494,
2002-04,23.305,
2002-07,23.275,
2002-10,20.754,
2003-01,19.543,
2003-04,17.240,
2003-07,17.502,
2003-10,15.784,
2004-01,15.885,
2004-04,15.936,
2004-07,17.065,
2004-10,16.059,
2005-01,18.602,
2005-04,19.414,
2005-07,20.660,
2005-10,17.788,
2006-01,24.630,
2006-04,21.422,
2006-07,24.955,
2006-10,21.917,
2007-01,35.503,
2007-04,29.912,
2007-07,32.350,
2007-10,23.677,
2008-01,32.715,
2008-04,42.035,
2008-07,42.283,
2008-10,26.025,
2009-01,25.686,
2009-04,27.210,
2009-07,25.140,
2009-10,22.063,
2010-01,21.709,
2010-04,22.252,
2010-07,23.424,
2010-10,21.055,
2011-01,20.127,
2011-04,25.600,
2011-07,27.215,
2011-10,24.014,
2012-01,29.584,
2012-04,25.579,
2012-07,31.233,
2012-10,24.014,
2013-01,29.707,
2013-04,30.133,
2013-07,18.008,
2013-10,14.961,
2014-01,13.377,
2014-04,15.317,
2014-07,15.553,
