"",BBK01.OEXI06U,BBK01.OEXI06U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:05,
2002-01,0.044,
2002-04,0.043,
2002-07,0.034,
2002-10,0.035,
2003-01,0.037,
2003-04,0.034,
2003-07,0.031,
2003-10,0.029,
2004-01,0.034,
2004-04,0.028,
2004-07,0.028,
2004-10,0.030,
2005-01,0.038,
2005-04,0.039,
2005-07,0.038,
2005-10,0.036,
2006-01,0.039,
2006-04,0.042,
2006-07,0.049,
2006-10,0.053,
2007-01,0.060,
2007-04,0.062,
2007-07,0.066,
2007-10,0.077,
2008-01,0.089,
2008-04,0.104,
2008-07,0.108,
2008-10,0.117,
2009-01,0.126,
2009-04,0.109,
2009-07,0.103,
2009-10,0.100,
2010-01,0.104,
2010-04,0.127,
2010-07,0.141,
2010-10,0.150,
2011-01,0.162,
2011-04,0.183,
2011-07,0.192,
2011-10,0.191,
2012-01,0.188,
2012-04,0.194,
2012-07,0.190,
2012-10,0.181,
2013-01,0.156,
2013-04,0.143,
2013-07,0.153,
2013-10,0.168,
2014-01,0.195,
2014-04,0.249,
2014-07,0.280,
