"",BBK01.OEAH38U,BBK01.OEAH38U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:31:25,
2002-01,0.244,
2002-04,0.235,
2002-07,0.246,
2002-10,0.242,
2003-01,0.249,
2003-04,0.232,
2003-07,0.224,
2003-10,0.222,
2004-01,0.258,
2004-04,0.256,
2004-07,0.255,
2004-10,0.267,
2005-01,0.288,
2005-04,0.318,
2005-07,0.308,
2005-10,0.292,
2006-01,0.285,
2006-04,0.281,
2006-07,0.288,
2006-10,0.268,
2007-01,0.266,
2007-04,0.260,
2007-07,0.253,
2007-10,0.248,
2008-01,0.245,
2008-04,0.240,
2008-07,0.240,
2008-10,0.225,
2009-01,0.226,
2009-04,0.222,
2009-07,0.230,
2009-10,0.230,
2010-01,0.232,
2010-04,0.215,
2010-07,0.220,
2010-10,0.202,
2011-01,0.180,
2011-04,0.176,
2011-07,0.162,
2011-10,0.158,
2012-01,0.158,
2012-04,0.157,
2012-07,0.155,
2012-10,0.144,
2013-01,0.182,
2013-04,0.183,
2013-07,0.184,
2013-10,0.211,
2014-01,0.210,
2014-04,0.253,
2014-07,0.269,
