"",BBFB1.Q.N.DE.A7.S1.S1.T.A.FA.D.F._Z._T._X.N,BBFB1.Q.N.DE.A7.S1.S1.T.A.FA.D.F._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Direct investment / South American countries,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:46:11,
1991-01,42.914,
1991-04,19.320,
1991-07,62.765,
1991-10,120.584,
1992-01,58.904,
1992-04,22.287,
1992-07,3.664,
1992-10,30.867,
1993-01,127.926,
1993-04,91.141,
1993-07,71.156,
1993-10,184.387,
1994-01,257.701,
1994-04,269.552,
1994-07,129.877,
1994-10,407.748,
1995-01,-86.154,
1995-04,135.029,
1995-07,-62.546,
1995-10,-17.080,
1996-01,353.322,
1996-04,341.910,
1996-07,401.871,
1996-10,355.432,
1997-01,131.609,
1997-04,120.872,
1997-07,421.491,
1997-10,223.388,
1998-01,19.172,
1998-04,721.771,
1998-07,451.466,
1998-10,414.819,
1999-01,199.587,
1999-04,464.914,
1999-07,224.215,
1999-10,327.729,
2000-01,423.775,
2000-04,774.853,
2000-07,1015.449,
2000-10,180.570,
2001-01,-365.623,
2001-04,-503.996,
2001-07,354.505,
2001-10,785.244,
2002-01,-130.635,
2002-04,-37.989,
2002-07,-331.291,
2002-10,-212.527,
2003-01,-418.171,
2003-04,-166.611,
2003-07,72.650,
2003-10,159.876,
2004-01,632.683,
2004-04,303.170,
2004-07,233.405,
2004-10,761.698,
2005-01,118.260,
2005-04,509.118,
2005-07,378.089,
2005-10,502.294,
2006-01,219.754,
2006-04,266.530,
2006-07,201.874,
2006-10,446.462,
2007-01,992.125,
2007-04,1038.058,
2007-07,-437.379,
2007-10,534.575,
2008-01,627.191,
2008-04,231.478,
2008-07,-54.288,
2008-10,-424.706,
2009-01,1530.107,
2009-04,-129.885,
2009-07,264.864,
2009-10,-1032.318,
2010-01,702.170,
2010-04,533.081,
2010-07,361.467,
2010-10,136.360,
2011-01,564.054,
2011-04,761.497,
2011-07,716.565,
2011-10,201.617,
2012-01,756.410,
2012-04,873.943,
2012-07,685.473,
2012-10,547.574,
2013-01,684.909,
2013-04,954.614,
2013-07,557.059,
2013-10,490.948,
2014-01,574.348,Provisional value
2014-04,188.965,Provisional value
2014-07,85.843,Provisional value
2014-10,768.961,Provisional value
