"",BBNZ1.Q.DE.Y.H.0000.L,BBNZ1.Q.DE.Y.H.0000.L_FLAGS
"","Germany / National accounts / Overall economy / Gross domestic product (price adjusted) / Calendar and seasonally adjusted 1, 2, 3",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-13 16:18:17,
1970-01,43.17,
1970-04,44.89,
1970-07,45.72,
1970-10,46.10,
1971-01,45.21,
1971-04,46.18,
1971-07,46.97,
1971-10,46.94,
1972-01,46.97,
1972-04,47.75,
1972-07,48.87,
1972-10,49.62,
1973-01,50.31,
1973-04,50.68,
1973-07,50.85,
1973-10,50.98,
1974-01,51.41,
1974-04,51.36,
1974-07,51.36,
1974-10,50.71,
1975-01,50.42,
1975-04,50.16,
1975-07,50.71,
1975-10,51.70,
1976-01,52.17,
1976-04,52.95,
1976-07,52.97,
1976-10,53.94,
1977-01,54.41,
1977-04,54.71,
1977-07,54.70,
1977-10,55.64,
1978-01,55.87,
1978-04,56.10,
1978-07,56.82,
1978-10,57.49,
1979-01,57.56,
1979-04,59.35,
1979-07,59.35,
1979-10,59.71,
1980-01,60.19,
1980-04,59.81,
1980-07,59.57,
1980-10,59.50,
1981-01,60.20,
1981-04,60.04,
1981-07,60.20,
1981-10,60.16,
1982-01,60.39,
1982-04,60.01,
1982-07,59.42,
1982-10,59.56,
1983-01,60.10,
1983-04,60.73,
1983-07,60.61,
1983-10,61.44,
1984-01,62.26,
1984-04,61.28,
1984-07,62.94,
1984-10,63.48,
1985-01,63.13,
1985-04,63.76,
1985-07,64.59,
1985-10,64.98,
1986-01,64.61,
1986-04,65.35,
1986-07,65.84,
1986-10,66.49,
1987-01,64.82,
1987-04,66.28,
1987-07,66.73,
1987-10,67.80,
1988-01,67.19,
1988-04,68.41,
1988-07,69.19,
1988-10,69.99,
1989-01,70.74,
1989-04,71.02,
1989-07,71.67,
1989-10,72.50,
1990-01,73.99,
1990-04,74.36,
1990-07,75.93,
1990-10,77.26,
1991-01,79.54,
1991-04,79.19,
1991-07,78.82,
1991-10,79.78,
1992-01,81.12,
1992-04,80.55,
1992-07,80.34,
1992-10,80.13,
1993-01,79.47,
1993-04,79.48,
1993-07,80.06,
1993-10,79.97,
1994-01,81.02,
1994-04,81.23,
1994-07,81.89,
1994-10,82.89,
1995-01,82.57,
1995-04,83.28,
1995-07,83.52,
1995-10,83.47,
1996-01,82.67,
1996-04,83.80,
1996-07,84.33,
1996-10,84.75,
1997-01,84.31,
1997-04,85.47,
1997-07,85.78,
1997-10,86.35,
1998-01,87.10,
1998-04,86.78,
1998-07,87.03,
1998-10,86.97,
1999-01,87.74,
1999-04,87.88,
1999-07,88.82,
1999-10,89.90,
2000-01,90.80,
2000-04,91.71,
2000-07,91.57,
2000-10,91.66,
2001-01,93.15,
2001-04,93.23,
2001-07,92.95,
2001-10,93.11,
2002-01,92.82,
2002-04,93.01,
2002-07,93.44,
2002-10,93.26,
2003-01,92.11,
2003-04,92.16,
2003-07,92.62,
2003-10,92.94,
2004-01,92.93,
2004-04,93.27,
2004-07,93.11,
2004-10,93.17,
2005-01,93.00,
2005-04,93.63,
2005-07,94.39,
2005-10,94.71,
2006-01,95.64,
2006-04,97.17,
2006-07,98.12,
2006-10,99.40,
2007-01,99.85,
2007-04,100.58,
2007-07,101.41,
2007-10,101.73,
2008-01,102.54,
2008-04,102.32,
2008-07,101.91,
2008-10,99.92,
2009-01,95.44,
2009-04,95.56,
2009-07,96.08,
2009-10,96.92,
2010-01,97.67,
2010-04,99.73,
2010-07,100.49,
2010-10,101.23,
2011-01,103.09,
2011-04,103.28,
2011-07,103.68,
2011-10,103.68,
2012-01,104.00,
2012-04,104.13,
2012-07,104.22,
2012-10,103.79,
2013-01,103.37,
2013-04,104.19,
2013-07,104.50,
2013-10,104.97,
2014-01,105.78,
2014-04,105.69,
2014-07,105.76,
2014-10,106.50,
"","General: 1 Source of the original data: Federal Statistical Office. - 2 Territorial definition: Germany as of 1991, prior to that western Germany. Linked over annual average of 1991 (Bundesbank calculation). - 3 Methodology: Figures are chain-linked Laspeyres indices (annual overlap). As of 1970 up to the end of 1990, data basis according to ESA 1995. As of 1991, data basis according to ESA 2010.",
