"",BBK01.OEAH69M,BBK01.OEAH69M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:27:01,
2002-01,10.008,
2002-04,9.628,
2002-07,9.526,
2002-10,9.438,
2003-01,9.114,
2003-04,8.509,
2003-07,8.027,
2003-10,7.966,
2004-01,7.787,
2004-04,7.587,
2004-07,7.552,
2004-10,7.891,
2005-01,7.986,
2005-04,7.865,
2005-07,7.753,
2005-10,7.866,
2006-01,8.237,
2006-04,8.491,
2006-07,8.872,
2006-10,9.244,
2007-01,9.645,
2007-04,9.730,
2007-07,9.844,
2007-10,10.094,
2008-01,9.960,
2008-04,9.660,
2008-07,9.348,
2008-10,9.905,
2009-01,9.570,
2009-04,10.069,
2009-07,10.224,
2009-10,9.965,
2010-01,10.123,
2010-04,10.023,
2010-07,9.455,
2010-10,9.145,
2011-01,9.228,
2011-04,8.995,
2011-07,8.964,
2011-10,8.746,
2012-01,8.574,
2012-04,8.377,
2012-07,8.127,
2012-10,7.758,
2013-01,7.578,
2013-04,7.259,
2013-07,7.051,
2013-10,6.806,
2014-01,6.615,
2014-04,6.289,
2014-07,6.385,
