"",BBFB1.Q.N.DE.SE.S1.S1.T.A.FA.D.F._Z._T._X.N,BBFB1.Q.N.DE.SE.S1.S1.T.A.FA.D.F._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Direct investment / Sweden,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:43:32,
1991-01,35.237,
1991-04,14.780,
1991-07,260.319,
1991-10,21.095,
1992-01,112.477,
1992-04,114.247,
1992-07,5.684,
1992-10,-17.738,
1993-01,130.435,
1993-04,72.110,
1993-07,315.442,
1993-10,63.226,
1994-01,51.153,
1994-04,58.940,
1994-07,-13.115,
1994-10,-10.364,
1995-01,224.598,
1995-04,75.592,
1995-07,95.160,
1995-10,100.355,
1996-01,30.549,
1996-04,91.394,
1996-07,72.931,
1996-10,402.101,
1997-01,-27.150,
1997-04,117.087,
1997-07,-17.841,
1997-10,281.650,
1998-01,-231.111,
1998-04,117.295,
1998-07,190.212,
1998-10,1548.753,
1999-01,588.767,
1999-04,136.014,
1999-07,3529.004,
1999-10,2214.032,
2000-01,637.499,
2000-04,2110.941,
2000-07,659.240,
2000-10,-1111.963,
2001-01,1102.386,
2001-04,566.186,
2001-07,114.240,
2001-10,1702.817,
2002-01,260.015,
2002-04,501.557,
2002-07,317.472,
2002-10,364.935,
2003-01,1058.004,
2003-04,-440.618,
2003-07,175.492,
2003-10,1863.547,
2004-01,4007.726,
2004-04,-216.659,
2004-07,94.195,
2004-10,542.161,
2005-01,216.279,
2005-04,-1368.158,
2005-07,551.008,
2005-10,792.980,
2006-01,1186.855,
2006-04,-4917.853,
2006-07,1021.970,
2006-10,963.619,
2007-01,223.744,
2007-04,-846.774,
2007-07,1338.897,
2007-10,-2716.647,
2008-01,101.948,
2008-04,-5.480,
2008-07,3060.954,
2008-10,4126.344,
2009-01,-814.055,
2009-04,443.537,
2009-07,-421.788,
2009-10,673.526,
2010-01,-1471.615,
2010-04,1097.128,
2010-07,654.101,
2010-10,-1171.096,
2011-01,-175.129,
2011-04,-238.058,
2011-07,-1111.277,
2011-10,3370.282,
2012-01,309.481,
2012-04,-3249.898,
2012-07,467.917,
2012-10,1443.037,
2013-01,174.887,
2013-04,-214.559,
2013-07,1044.458,
2013-10,220.573,
2014-01,-509.640,Provisional value
2014-04,6999.871,Provisional value
2014-07,889.863,Provisional value
2014-10,780.394,Provisional value
