"",BBK01.OEAL02Q,BBK01.OEAL02Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:13:03,
2002-01,8.288,
2002-04,8.327,
2002-07,8.104,
2002-10,8.494,
2003-01,8.442,
2003-04,8.796,
2003-07,9.467,
2003-10,9.658,
2004-01,9.419,
2004-04,9.238,
2004-07,8.808,
2004-10,8.986,
2005-01,9.765,
2005-04,10.006,
2005-07,10.212,
2005-10,10.512,
2006-01,11.096,
2006-04,11.340,
2006-07,11.058,
2006-10,11.742,
2007-01,12.734,
2007-04,13.938,
2007-07,14.458,
2007-10,14.708,
2008-01,15.239,
2008-04,16.767,
2008-07,16.913,
2008-10,17.434,
2009-01,18.153,
2009-04,19.098,
2009-07,19.116,
2009-10,19.793,
2010-01,20.242,
2010-04,20.974,
2010-07,21.168,
2010-10,21.595,
2011-01,21.294,
2011-04,21.480,
2011-07,21.658,
2011-10,21.945,
2012-01,21.995,
2012-04,24.608,
2012-07,24.608,
2012-10,24.753,
2013-01,26.201,
2013-04,27.321,
2013-07,27.714,
2013-10,27.740,
2014-01,28.279,
2014-04,30.375,
2014-07,29.588,
