"",BBFB1.M.N.DE.W1.S1.S1.T.L.FA.D.F519._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.L.FA.D.F519._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Direct investment / Equity / Other / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:50:21,
1991-01,137.147,
1991-02,-7.360,
1991-03,3.485,
1991-04,-10.116,
1991-05,-3.611,
1991-06,-2.004,
1991-07,36.194,
1991-08,-2.098,
1991-09,35.055,
1991-10,-4.445,
1991-11,-7.874,
1991-12,-43.409,
1992-01,-7.392,
1992-02,-10.176,
1992-03,-41.120,
1992-04,-99.230,
1992-05,-19.009,
1992-06,-17.511,
1992-07,-61.400,
1992-08,-25.395,
1992-09,-19.059,
1992-10,-13.502,
1992-11,-148.414,
1992-12,-132.090,
1993-01,-28.711,
1993-02,3.054,
1993-03,-69.199,
1993-04,-43.116,
1993-05,-36.187,
1993-06,-19.186,
1993-07,-84.942,
1993-08,-32.919,
1993-09,-10.174,
1993-10,-31.400,
1993-11,-35.794,
1993-12,-1518.805,
1994-01,-66.126,
1994-02,-116.464,
1994-03,-61.567,
1994-04,-69.689,
1994-05,-21.424,
1994-06,-24.947,
1994-07,-31.512,
1994-08,-425.474,
1994-09,10.584,
1994-10,-25.114,
1994-11,-9.587,
1994-12,-35.830,
1995-01,-26.134,
1995-02,-31.071,
1995-03,-44.441,
1995-04,-10.848,
1995-05,-87.779,
1995-06,-22.524,
1995-07,-32.117,
1995-08,-11.598,
1995-09,-24.130,
1995-10,-55.506,
1995-11,-32.473,
1995-12,-25.021,
1996-01,-41.493,
1996-02,-18.092,
1996-03,-2.790,
1996-04,-32.305,
1996-05,-58.973,
1996-06,-128.507,
1996-07,57.386,
1996-08,-123.913,
1996-09,-25.966,
1996-10,-31.012,
1996-11,-31.757,
1996-12,-33.548,
1997-01,-99.365,
1997-02,-28.634,
1997-03,-12.894,
1997-04,-70.788,
1997-05,-3.231,
1997-06,-32.136,
1997-07,-10.721,
1997-08,-24.215,
1997-09,-26.444,
1997-10,-3.308,
1997-11,-22.333,
1997-12,11.864,
1998-01,-11.088,
1998-02,-8.020,
1998-03,-18.939,
1998-04,-186.285,
1998-05,-12.026,
1998-06,-32.269,
1998-07,-36.800,
1998-08,-25.213,
1998-09,-23.457,
1998-10,-30.880,
1998-11,-18.569,
1998-12,-32.369,
1999-01,-20.371,
1999-02,-2.909,
1999-03,-13.390,
1999-04,-0.048,
1999-05,-2.645,
1999-06,-11.520,
1999-07,19.485,
1999-08,-16.379,
1999-09,0.710,
1999-10,-43.013,
1999-11,-44.389,
1999-12,-112.130,
2000-01,4.015,
2000-02,-6.146,
2000-03,-129.175,
2000-04,-34.846,
2000-05,-12.922,
2000-06,-48.017,
2000-07,-11.550,
2000-08,-15.240,
2000-09,-2.641,
2000-10,-34.073,
2000-11,-19.109,
2000-12,-22.360,
2001-01,-6.711,
2001-02,-26.241,
2001-03,6.292,
2001-04,-41.908,
2001-05,-1.438,
2001-06,-8.416,
2001-07,-14.801,
2001-08,-7.192,
2001-09,-5.128,
2001-10,-8.848,
2001-11,-5.984,
2001-12,-36.588,
2002-01,-9.454,
2002-02,-4.042,
2002-03,-14.917,
2002-04,0.022,
2002-05,-7.676,
2002-06,-23.607,
2002-07,-13.662,
2002-08,-4.863,
2002-09,-77.724,
2002-10,-11.418,
2002-11,-0.806,
2002-12,-29.020,
2003-01,-76.721,
2003-02,-1.283,
2003-03,-16.157,
