"",BBK01.OEAE06U,BBK01.OEAE06U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:06:19,
2002-01,0.710,
2002-04,0.711,
2002-07,0.709,
2002-10,0.726,
2003-01,0.718,
2003-04,0.714,
2003-07,0.700,
2003-10,0.675,
2004-01,0.667,
2004-04,0.672,
2004-07,0.678,
2004-10,0.699,
2005-01,0.710,
2005-04,0.702,
2005-07,0.698,
2005-10,0.695,
2006-01,0.699,
2006-04,0.669,
2006-07,0.672,
2006-10,0.676,
2007-01,0.679,
2007-04,0.743,
2007-07,0.737,
2007-10,0.733,
2008-01,0.747,
2008-04,0.738,
2008-07,0.747,
2008-10,0.762,
2009-01,0.787,
2009-04,0.839,
2009-07,0.842,
2009-10,1.081,
2010-01,0.815,
2010-04,0.818,
2010-07,0.825,
2010-10,0.794,
2011-01,0.827,
2011-04,0.830,
2011-07,0.825,
2011-10,0.823,
2012-01,0.823,
2012-04,0.848,
2012-07,0.881,
2012-10,0.862,
2013-01,0.876,
2013-04,0.890,
2013-07,0.930,
2013-10,0.934,
2014-01,0.924,
2014-04,0.887,
2014-07,1.053,
