"",BBK01.OU9051,BBK01.OU9051_FLAGS
"",Securities portfolios / Bonds and debt securities / Floating rate notes / Mortgage banks,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 09:48:40,
2012-02,56.335,
2012-03,54.663,
2012-04,54.160,
2012-05,52.814,
2012-06,51.220,
2012-07,49.961,
2012-08,47.918,
2012-09,47.363,
2012-10,46.803,
2012-11,45.947,
2012-12,47.336,
2013-01,45.690,
2013-02,44.869,
2013-03,43.032,
2013-04,42.189,
2013-05,41.781,
2013-06,42.352,
2013-07,41.802,
2013-08,41.533,
2013-09,40.964,
2013-10,40.293,
2013-11,39.050,
2013-12,38.559,
2014-01,38.059,
2014-02,37.097,
2014-03,31.991,
2014-04,31.894,
2014-05,31.714,
2014-06,31.890,
2014-07,31.828,
2014-08,31.221,
2014-09,31.306,
2014-10,30.238,
2014-11,29.905,
2014-12,29.658,Provisional value
