"",BBDL1.M.DE.Y.EMP.EBA000.A0000.A00.D00.0.ABA.A,BBDL1.M.DE.Y.EMP.EBA000.A0000.A00.D00.0.ABA.A_FLAGS
"",Employees subject to social security contributions / Germany / Total / Absolute value / Calendar and seasonally adjusted,
unit,Anzahl (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-26 10:19:10,
1999-06,27486,
1999-07,27449,
1999-08,27478,
1999-09,27532,
1999-10,27560,
1999-11,27656,
1999-12,27705,
2000-01,27736,
2000-02,27779,
2000-03,27812,
2000-04,27818,
2000-05,27874,
2000-06,27910,
2000-07,27945,
2000-08,27986,
2000-09,27935,
2000-10,27936,
2000-11,27962,
2000-12,27971,
2001-01,27898,
2001-02,27913,
2001-03,27923,
2001-04,27954,
2001-05,27964,
2001-06,27864,
2001-07,27838,
2001-08,27818,
2001-09,27720,
2001-10,27882,
2001-11,27881,
2001-12,27878,
2002-01,27923,
2002-02,27917,
2002-03,27861,
2002-04,27832,
2002-05,27779,
2002-06,27720,
2002-07,27729,
2002-08,27667,
2002-09,27582,
2002-10,27503,
2002-11,27423,
2002-12,27376,
2003-01,27345,
2003-02,27278,
2003-03,27203,
2003-04,27107,
2003-05,27019,
2003-06,27002,
2003-07,26931,
2003-08,26827,
2003-09,26808,
2003-10,26763,
2003-11,26709,
2003-12,26677,
2004-01,26661,
2004-02,26623,
2004-03,26653,
2004-04,26619,
2004-05,26581,
2004-06,26592,
2004-07,26551,
2004-08,26573,
2004-09,26620,
2004-10,26533,
2004-11,26496,
2004-12,26459,
2005-01,26357,
2005-02,26327,
2005-03,26313,
2005-04,26326,
2005-05,26331,
2005-06,26340,
2005-07,26323,
2005-08,26348,
2005-09,26367,
2005-10,26370,
2005-11,26393,
2005-12,26374,
2006-01,26293,
2006-02,26313,
2006-03,26348,
2006-04,26436,
2006-05,26542,
2006-06,26577,
2006-07,26615,
2006-08,26630,
2006-09,26650,
2006-10,26693,
2006-11,26746,
2006-12,26788,
2007-01,26893,
2007-02,26956,
2007-03,26990,
2007-04,27035,
2007-05,27073,
2007-06,27100,
2007-07,27172,
2007-08,27235,
2007-09,27278,
2007-10,27365,
2007-11,27401,
2007-12,27450,
2008-01,27567,
2008-02,27646,
2008-03,27674,
2008-04,27691,
2008-05,27706,
2008-06,27750,
2008-07,27800,
2008-08,27820,
2008-09,27874,
2008-10,27901,
2008-11,27879,
2008-12,27892,
2009-01,27863,
2009-02,27835,
2009-03,27777,
2009-04,27720,
2009-05,27667,
2009-06,27661,
2009-07,27658,
2009-08,27670,
2009-09,27684,
2009-10,27681,
2009-11,27728,
2009-12,27768,
2010-01,27757,
2010-02,27764,
2010-03,27842,
2010-04,27915,
2010-05,27975,
2010-06,28026,
2010-07,28063,
2010-08,28124,
2010-09,28167,
2010-10,28194,
2010-11,28250,
2010-12,28297,
2011-01,28347,
2011-02,28432,
2011-03,28508,
2011-04,28560,
2011-05,28646,
2011-06,28704,
2011-07,28740,
2011-08,28819,
2011-09,28880,
2011-10,28941,
2011-11,28996,
2011-12,29060,
2012-01,29158,
2012-02,29191,
2012-03,29253,
2012-04,29284,
2012-05,29321,
2012-06,29340,
2012-07,29395,
2012-08,29415,
2012-09,29420,
2012-10,29494,
2012-11,29528,
2012-12,29549,
2013-01,29575,
2013-02,29609,
2013-03,29587,
2013-04,29641,
2013-05,29668,
2013-06,29674,
2013-07,29733,
2013-08,29788,
2013-09,29835,
2013-10,29854,
2013-11,29868,
2013-12,29910,
2014-01,29977,
2014-02,30043,
2014-03,30094,
2014-04,30135,
2014-05,30159,
2014-06,30232,
2014-07,30259,
2014-08,30262,
2014-09,30319,Estimated value
2014-10,30365,Estimated value
2014-11,30438,Estimated value
2014-12,30495,Estimated value
