"",BBK01.OEAH65S,BBK01.OEAH65S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:30:28,
2002-01,0.346,
2002-04,0.345,
2002-07,0.343,
2002-10,0.334,
2003-01,0.326,
2003-04,0.313,
2003-07,0.326,
2003-10,0.343,
2004-01,0.360,
2004-04,0.353,
2004-07,0.353,
2004-10,0.355,
2005-01,0.362,
2005-04,0.358,
2005-07,0.328,
2005-10,0.302,
2006-01,0.266,
2006-04,0.252,
2006-07,0.245,
2006-10,0.240,
2007-01,0.262,
2007-04,0.282,
2007-07,0.303,
2007-10,0.335,
2008-01,0.365,
2008-04,0.381,
2008-07,0.408,
2008-10,0.440,
2009-01,0.427,
2009-04,0.389,
2009-07,0.319,
2009-10,0.251,
2010-01,0.169,
2010-04,0.133,
2010-07,0.124,
2010-10,0.115,
2011-01,0.114,
2011-04,0.117,
2011-07,0.117,
2011-10,0.124,
2012-01,0.133,
2012-04,0.147,
2012-07,0.148,
2012-10,0.144,
2013-01,0.143,
2013-04,0.135,
2013-07,0.129,
2013-10,0.129,
2014-01,0.116,
2014-04,0.099,
2014-07,0.084,
