"",BBFB1.Q.N.DE.FI.S1.S1.T.C.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.FI.S1.S1.T.C.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods / Exports (fob) / Finland,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:28:03,
1991-01,752.496,
1991-04,661.301,
1991-07,698.363,
1991-10,737.335,
1992-01,689.646,
1992-04,752.096,
1992-07,658.639,
1992-10,685.132,
1993-01,780.051,
1993-04,535.056,
1993-07,501.142,
1993-10,574.068,
1994-01,598.638,
1994-04,765.794,
1994-07,647.188,
1994-10,815.618,
1995-01,865.688,
1995-04,843.388,
1995-07,849.569,
1995-10,884.254,
1996-01,970.135,
1996-04,925.728,
1996-07,931.018,
1996-10,1039.589,
1997-01,1007.520,
1997-04,1069.529,
1997-07,1027.474,
1997-10,1071.225,
1998-01,1138.652,
1998-04,1225.698,
1998-07,1171.376,
1998-10,1370.323,
1999-01,1221.158,
1999-04,1365.474,
1999-07,1343.888,
1999-10,1531.474,
2000-01,1617.830,
2000-04,1641.198,
2000-07,1613.275,
2000-10,1681.785,
2001-01,1612.009,
2001-04,1523.427,
2001-07,1498.842,
2001-10,1572.739,
2002-01,1426.110,
2002-04,1557.568,
2002-07,1605.219,
2002-10,1656.858,
2003-01,1618.574,
2003-04,1642.654,
2003-07,1578.790,
2003-10,1769.880,
2004-01,1617.787,
2004-04,1800.141,
2004-07,1852.493,
2004-10,1947.376,
2005-01,1860.723,
2005-04,2042.480,
2005-07,1913.811,
2005-10,2179.743,
2006-01,2179.549,
2006-04,2101.356,
2006-07,2241.923,
2006-10,2259.783,
2007-01,2452.050,
2007-04,2562.193,
2007-07,2556.280,
2007-10,2638.948,
2008-01,2579.981,
2008-04,2567.423,
2008-07,2370.742,
2008-10,2174.897,
2009-01,1861.443,
2009-04,1648.845,
2009-07,1598.812,
2009-10,1752.394,
2010-01,1695.338,
2010-04,1826.985,
2010-07,1896.127,
2010-10,1955.457,
2011-01,2216.214,
2011-04,2101.929,
2011-07,2068.837,
2011-10,2075.732,
2012-01,2124.782,
2012-04,2006.457,
2012-07,1851.308,
2012-10,1969.176,
2013-01,1967.272,
2013-04,2166.467,
2013-07,2096.342,
2013-10,2201.636,
2014-01,2324.536,Provisional value
2014-04,2327.716,Provisional value
2014-07,2257.627,Provisional value
