"",BBFN1.M.DE.N.1.A.S1.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.S1.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from financial operations / Total / Countries in Asia,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:24:32,
1995-01,3.441,
1995-02,4.228,
1995-03,4.092,
1995-04,4.380,
1995-05,4.343,
1995-06,4.649,
1995-07,5.298,
1995-08,5.081,
1995-09,5.110,
1995-10,5.394,
1995-11,5.081,
1995-12,4.569,
1996-01,5.500,
1996-02,5.286,
1996-03,5.042,
1996-04,5.538,
1996-05,5.314,
1996-06,5.517,
1996-07,6.331,
1996-08,6.770,
1996-09,7.164,
1996-10,7.151,
1996-11,6.961,
1996-12,5.635,
1997-01,7.142,
1997-02,7.284,
1997-03,7.359,
1997-04,7.789,
1997-05,7.540,
1997-06,6.988,
1997-07,7.086,
1997-08,7.023,
1997-09,6.793,
1997-10,6.207,
1997-11,5.937,
1997-12,5.531,
1998-01,5.254,
1998-02,5.211,
1998-03,4.917,
1998-04,4.618,
1998-05,4.760,
1998-06,4.644,
1998-07,4.803,
1998-08,4.657,
1998-09,4.477,
1998-10,4.844,
1998-11,4.892,
1998-12,4.628,
1999-01,4.778,
1999-02,4.863,
1999-03,5.173,
1999-04,5.210,
1999-05,4.823,
1999-06,5.121,
1999-07,5.177,
1999-08,5.522,
1999-09,4.701,
1999-10,4.866,
1999-11,5.051,
1999-12,4.815,
2000-01,5.064,
2000-02,4.918,
2000-03,5.149,
2000-04,5.379,
2000-05,5.243,
2000-06,5.222,
2000-07,5.156,
2000-08,5.322,
2000-09,5.571,
2000-10,5.717,
2000-11,5.603,
2000-12,5.472,
2001-01,5.510,
2001-02,5.723,
2001-03,6.243,
2001-04,7.294,
2001-05,7.383,
2001-06,7.342,
2001-07,7.137,
2001-08,6.678,
2001-09,6.584,
2001-10,6.895,
2001-11,6.271,
2001-12,6.259,
2002-01,6.452,
2002-02,6.696,
2002-03,6.508,
2002-04,6.627,
2002-05,6.646,
2002-06,6.555,
2002-07,6.947,
2002-08,6.842,
2002-09,6.967,
2002-10,6.703,
2002-11,6.517,
2002-12,5.945,
2003-01,6.337,
2003-02,6.333,
2003-03,6.497,
2003-04,6.287,
2003-05,6.502,
2003-06,6.342,
2003-07,6.235,
2003-08,6.187,
2003-09,6.232,
2003-10,6.178,
2003-11,6.488,
2003-12,6.209,
2004-01,6.259,
2004-02,6.075,
2004-03,6.583,
2004-04,6.256,
2004-05,6.619,
2004-06,6.595,
2004-07,6.541,
2004-08,6.692,
2004-09,6.454,
2004-10,6.480,
2004-11,6.350,
2004-12,6.659,
2005-01,6.456,
2005-02,6.583,
2005-03,6.896,
2005-04,7.603,
2005-05,7.927,
2005-06,8.243,
2005-07,8.310,
2005-08,8.348,
2005-09,8.370,
2005-10,7.849,
2005-11,8.684,
2005-12,8.417,
2006-01,9.387,
2006-02,9.860,
2006-03,8.577,
2006-04,8.858,
2006-05,9.110,
2006-06,9.015,
2006-07,9.021,
2006-08,9.192,
2006-09,9.323,
2006-10,9.385,
2006-11,9.386,
2006-12,9.206,
2007-01,9.454,
2007-02,9.480,
2007-03,9.317,
2007-04,9.407,
2007-05,10.071,
2007-06,9.892,
2007-07,9.631,
2007-08,10.354,
2007-09,10.234,
2007-10,10.415,
2007-11,11.134,
2007-12,10.192,
2008-01,10.312,
2008-02,10.497,
2008-03,10.543,
2008-04,11.265,
2008-05,11.747,
2008-06,11.658,
2008-07,11.296,
2008-08,12.215,
2008-09,11.819,
2008-10,12.302,
2008-11,12.563,
2008-12,12.717,
2009-01,11.748,
2009-02,11.548,
2009-03,12.099,
2009-04,11.721,
2009-05,11.969,
2009-06,12.061,
2009-07,11.910,
2009-08,11.960,
2009-09,12.115,
2009-10,11.890,
2009-11,12.024,
2009-12,12.233,
2010-01,12.627,
2010-02,12.704,
2010-03,12.527,
2010-04,13.230,
2010-05,14.081,
2010-06,14.441,
2010-07,14.550,
2010-08,14.542,
2010-09,13.847,
2010-10,13.879,
2010-11,14.302,
2010-12,14.376,
2011-01,14.020,
2011-02,14.147,
2011-03,14.197,
2011-04,14.552,
2011-05,15.022,
2011-06,15.185,
2011-07,15.883,
2011-08,15.976,
2011-09,15.913,
2011-10,15.993,
2011-11,16.807,
2011-12,17.269,
2012-01,17.073,
2012-02,16.833,
2012-03,17.237,
2012-04,18.603,
2012-05,18.016,
2012-06,18.025,
2012-07,18.724,
2012-08,18.353,
2012-09,18.200,
2012-10,18.051,
2012-11,17.741,
2012-12,17.224,
2013-01,16.702,
2013-02,17.307,
2013-03,17.874,
2013-04,18.395,
2013-05,17.950,
2013-06,18.188,
2013-07,16.004,
2013-08,17.416,
2013-09,17.520,
2013-10,17.361,
2013-11,18.271,
2013-12,16.585,
2014-01,17.025,
2014-02,17.162,
2014-03,18.391,
2014-04,22.189,
2014-05,19.142,
2014-06,19.724,
2014-07,20.109,
2014-08,20.275,
2014-09,19.827,
2014-10,20.708,
2014-11,21.016,
2014-12,21.398,
