"",BBK01.OEAE04L,BBK01.OEAE04L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:05,
2002-01,35.512,
2002-04,35.777,
2002-07,35.495,
2002-10,37.992,
2003-01,41.235,
2003-04,42.514,
2003-07,43.149,
2003-10,43.282,
2004-01,43.933,
2004-04,45.690,
2004-07,44.980,
2004-10,45.781,
2005-01,45.965,
2005-04,46.425,
2005-07,46.708,
2005-10,45.348,
2006-01,45.181,
2006-04,45.647,
2006-07,45.405,
2006-10,44.464,
2007-01,45.097,
2007-04,44.416,
2007-07,46.828,
2007-10,48.229,
2008-01,47.899,
2008-04,46.848,
2008-07,47.522,
2008-10,45.901,
2009-01,44.449,
2009-04,45.153,
2009-07,44.178,
2009-10,43.945,
2010-01,43.774,
2010-04,43.142,
2010-07,42.597,
2010-10,42.714,
2011-01,41.663,
2011-04,40.789,
2011-07,40.349,
2011-10,37.995,
2012-01,37.492,
2012-04,36.760,
2012-07,36.000,
2012-10,33.708,
2013-01,33.257,
2013-04,31.822,
2013-07,30.812,
2013-10,29.942,
2014-01,29.523,
2014-04,28.055,
2014-07,27.241,
