"",BBK01.OEHB04S,BBK01.OEHB04S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:39:10,
2002-01,5.585,
2002-04,5.617,
2002-07,5.658,
2002-10,5.683,
2003-01,5.649,
2003-04,5.696,
2003-07,5.722,
2003-10,5.770,
2004-01,5.706,
2004-04,5.718,
2004-07,5.723,
2004-10,5.740,
2005-01,5.688,
2005-04,5.687,
2005-07,5.703,
2005-10,5.716,
2006-01,5.647,
2006-04,5.655,
2006-07,5.678,
2006-10,5.713,
2007-01,5.665,
2007-04,5.647,
2007-07,5.642,
2007-10,5.595,
2008-01,5.557,
2008-04,5.685,
2008-07,5.818,
2008-10,5.814,
2009-01,5.802,
2009-04,5.885,
2009-07,5.918,
2009-10,5.986,
2010-01,6.105,
2010-04,6.492,
2010-07,6.593,
2010-10,6.797,
2011-01,6.914,
2011-04,7.022,
2011-07,7.166,
2011-10,7.363,
2012-01,7.453,
2012-04,7.553,
2012-07,7.716,
2012-10,7.952,
2013-01,8.068,
2013-04,8.175,
2013-07,8.384,
2013-10,8.498,
2014-01,8.633,
2014-04,8.763,
2014-07,8.959,
