"",BBFN1.M.DE.N.1.A.RS.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.RS.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:18:26,
1994-07,0.310,
1994-08,0.311,
1994-09,0.304,
1994-10,0.267,
1994-11,0.265,
1994-12,0.271,
1995-01,0.257,
1995-02,0.262,
1995-03,0.267,
1995-04,0.263,
1995-05,0.268,
1995-06,0.267,
1995-07,0.268,
1995-08,0.267,
1995-09,0.264,
1995-10,0.262,
1995-11,0.269,
1995-12,0.244,
1996-01,0.247,
1996-02,0.276,
1996-03,0.287,
1996-04,0.289,
1996-05,0.292,
1996-06,0.296,
1996-07,0.299,
1996-08,0.301,
1996-09,0.300,
1996-10,0.303,
1996-11,0.307,
1996-12,0.307,
1997-01,0.313,
1997-02,0.312,
1997-03,0.318,
1997-04,0.313,
1997-05,0.330,
1997-06,0.336,
1997-07,0.333,
1997-08,0.335,
1997-09,0.319,
1997-10,0.318,
1997-11,0.320,
1997-12,0.321,
1998-01,0.325,
1998-02,0.336,
1998-03,0.325,
1998-04,0.324,
1998-05,0.332,
1998-06,0.338,
1998-07,0.339,
1998-08,0.345,
1998-09,0.342,
1998-10,0.341,
1998-11,0.289,
1998-12,0.287,
1999-01,0.286,
1999-02,0.289,
1999-03,0.291,
1999-04,0.278,
1999-05,0.284,
1999-06,0.261,
1999-07,0.260,
1999-08,0.265,
1999-09,0.256,
1999-10,0.257,
1999-11,0.256,
1999-12,0.252,
2000-01,0.253,
2000-02,0.247,
2000-03,0.259,
2000-04,0.259,
2000-05,0.235,
2000-06,0.237,
2000-07,0.241,
2000-08,0.241,
2000-09,0.244,
2000-10,0.235,
2000-11,0.241,
2000-12,0.215,
2001-01,0.204,
2001-02,0.205,
2001-03,0.210,
2001-04,0.217,
2001-05,0.212,
2001-06,0.167,
2001-07,0.170,
2001-08,0.172,
2001-09,0.170,
2001-10,0.179,
2001-11,0.177,
2001-12,0.185,
2002-01,0.181,
2002-02,0.188,
2002-03,0.178,
2002-04,0.176,
2002-05,0.181,
2002-06,0.181,
2002-07,0.190,
2002-08,0.208,
2002-09,0.212,
2002-10,0.218,
2002-11,0.229,
2002-12,0.217,
2003-01,0.218,
2003-02,0.239,
2003-03,0.212,
2003-04,0.223,
2003-05,0.228,
2003-06,0.241,
2003-07,0.253,
2003-08,0.253,
2003-09,0.252,
2003-10,0.245,
2003-11,0.269,
2003-12,0.249,
2004-01,0.246,
2004-02,0.254,
2004-03,0.272,
2004-04,0.284,
2004-05,0.295,
2004-06,0.306,
2004-07,0.291,
2004-08,0.296,
2004-09,0.282,
2004-10,0.289,
2004-11,0.286,
2004-12,0.287,
2005-01,0.280,
2005-02,0.277,
2005-03,0.361,
2005-04,0.310,
2005-05,0.292,
2005-06,0.291,
2005-07,0.296,
2005-08,0.296,
2005-09,0.299,
2005-10,0.289,
2005-11,0.288,
2005-12,0.284,
2006-01,0.278,
2006-02,0.270,
2006-03,0.268,
2006-04,0.269,
2006-05,0.278,
2006-06,0.276,
2006-07,0.246,
2006-08,0.232,
2006-09,0.228,
2006-10,0.229,
2006-11,0.229,
2006-12,0.219,
2007-01,0.202,
2007-02,0.215,
2007-03,0.225,
2007-04,0.229,
2007-05,0.239,
2007-06,0.241,
2007-07,0.236,
2007-08,0.248,
2007-09,0.254,
2007-10,0.254,
2007-11,0.258,
2007-12,0.242,
2008-01,0.238,
2008-02,0.247,
2008-03,0.255,
2008-04,0.280,
2008-05,0.284,
2008-06,0.292,
2008-07,0.293,
2008-08,0.290,
2008-09,0.286,
2008-10,0.293,
2008-11,0.301,
2008-12,0.277,
2009-01,0.268,
2009-02,0.262,
2009-03,0.274,
2009-04,0.278,
2009-05,0.285,
2009-06,0.272,
2009-07,0.261,
2009-08,0.274,
2009-09,0.259,
2009-10,0.255,
2009-11,0.274,
2009-12,0.246,
2010-01,0.242,
2010-02,0.243,
2010-03,0.249,
2010-04,0.257,
2010-05,0.264,
2010-06,0.269,
2010-07,0.270,
2010-08,0.277,
2010-09,0.262,
2010-10,0.291,
2010-11,0.270,
2010-12,0.250,
2011-01,0.247,
2011-02,0.253,
2011-03,0.273,
2011-04,0.244,
2011-05,0.251,
2011-06,0.266,
2011-07,0.268,
2011-08,0.262,
2011-09,0.273,
2011-10,0.264,
2011-11,0.275,
2011-12,0.261,
2012-01,0.245,
2012-02,0.245,
2012-03,0.271,
2012-04,0.276,
2012-05,0.287,
2012-06,0.306,
2012-07,0.294,
2012-08,0.297,
2012-09,0.304,
2012-10,0.305,
2012-11,0.290,
2012-12,0.271,
2013-01,0.266,
2013-02,0.282,
2013-03,0.299,
2013-04,0.302,
2013-05,0.305,
2013-06,0.308,
2013-07,0.313,
2013-08,0.303,
2013-09,0.287,
2013-10,0.290,
2013-11,0.285,
2013-12,0.249,
2014-01,0.235,
2014-02,0.247,
2014-03,0.252,
2014-04,0.266,
2014-05,0.272,
2014-06,0.290,
2014-07,0.280,
2014-08,0.295,
2014-09,0.286,
2014-10,0.271,
2014-11,0.260,
2014-12,0.232,
