"",BBK01.OEAC03T,BBK01.OEAC03T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:49:47,
2002-01,0.906,
2002-04,0.884,
2002-07,0.877,
2002-10,0.837,
2003-01,0.881,
2003-04,0.772,
2003-07,0.763,
2003-10,0.757,
2004-01,0.688,
2004-04,0.662,
2004-07,0.635,
2004-10,0.765,
2005-01,0.729,
2005-04,0.722,
2005-07,0.722,
2005-10,0.780,
2006-01,0.742,
2006-04,0.846,
2006-07,0.840,
2006-10,0.844,
2007-01,0.825,
2007-04,0.798,
2007-07,0.799,
2007-10,0.856,
2008-01,0.866,
2008-04,0.872,
2008-07,0.865,
2008-10,0.899,
2009-01,1.129,
2009-04,1.162,
2009-07,1.190,
2009-10,1.628,
2010-01,1.525,
2010-04,1.528,
2010-07,1.605,
2010-10,1.719,
2011-01,1.776,
2011-04,1.835,
2011-07,1.947,
2011-10,2.062,
2012-01,2.177,
2012-04,2.286,
2012-07,2.307,
2012-10,2.323,
2013-01,2.364,
2013-04,2.432,
2013-07,2.439,
2013-10,2.372,
2014-01,2.252,
2014-04,2.206,
2014-07,2.267,
