"",BBK01.OEAE03I,BBK01.OEAE03I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:18,
2002-01,2.228,
2002-04,1.922,
2002-07,1.582,
2002-10,1.597,
2003-01,1.369,
2003-04,1.161,
2003-07,2.009,
2003-10,1.731,
2004-01,1.731,
2004-04,1.843,
2004-07,2.136,
2004-10,1.775,
2005-01,1.744,
2005-04,1.808,
2005-07,1.772,
2005-10,1.130,
2006-01,1.161,
2006-04,1.182,
2006-07,1.429,
2006-10,1.542,
2007-01,1.367,
2007-04,1.398,
2007-07,1.407,
2007-10,1.271,
2008-01,1.271,
2008-04,0.978,
2008-07,1.019,
2008-10,0.949,
2009-01,0.858,
2009-04,0.847,
2009-07,0.924,
2009-10,0.718,
2010-01,0.901,
2010-04,0.716,
2010-07,0.626,
2010-10,0.681,
2011-01,0.773,
2011-04,0.741,
2011-07,0.709,
2011-10,0.676,
2012-01,0.876,
2012-04,0.788,
2012-07,0.810,
2012-10,0.737,
2013-01,0.710,
2013-04,1.340,
2013-07,1.388,
2013-10,2.037,
2014-01,1.997,
2014-04,2.256,
2014-07,2.051,
