"",BBK01.OECK02R,BBK01.OECK02R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:08:47,
2002-01,0.082,
2002-04,0.086,
2002-07,0.091,
2002-10,0.089,
2003-01,0.080,
2003-04,0.085,
2003-07,0.090,
2003-10,0.093,
2004-01,0.086,
2004-04,0.086,
2004-07,0.090,
2004-10,0.166,
2005-01,0.170,
2005-04,0.172,
2005-07,0.187,
2005-10,0.188,
2006-01,0.182,
2006-04,0.178,
2006-07,0.188,
2006-10,0.195,
2007-01,0.194,
2007-04,0.180,
2007-07,0.176,
2007-10,0.194,
2008-01,0.172,
2008-04,0.171,
2008-07,0.180,
2008-10,0.188,
2009-01,0.185,
2009-04,0.214,
2009-07,0.320,
2009-10,0.259,
2010-01,0.259,
2010-04,0.265,
2010-07,0.287,
2010-10,0.275,
2011-01,0.263,
2011-04,0.269,
2011-07,0.283,
2011-10,0.279,
2012-01,0.282,
2012-04,0.279,
2012-07,0.299,
2012-10,0.306,
2013-01,0.278,
2013-04,0.285,
2013-07,0.298,
2013-10,0.306,
2014-01,0.300,
2014-04,0.298,
2014-07,0.314,
