"",BBSF2.M.1.T.00000.ALT01.I.F.WPS.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.ALT01.I.F.WPS.Z5.00000.000000.Z01.00_FLAGS
"",Funds total / Pension investment funds / Securities total,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:39:16,
2009-09,662,
2009-10,648,
2009-11,651,
2009-12,674,
2010-01,392,
2010-02,393,
2010-03,414,
2010-04,401,
2010-05,391,
2010-06,384,
2010-07,527,
2010-08,501,
2010-09,506,
2010-10,514,
2010-11,528,
2010-12,545,
2011-01,539,
2011-02,563,
2011-03,547,
2011-04,562,
2011-05,562,
2011-06,549,
2011-07,542,
2011-08,522,
2011-09,716,
2011-10,745,
2011-11,733,
2011-12,742,
2012-01,775,
2012-02,796,
2012-03,772,
2012-04,753,
2012-05,738,
2012-06,732,
2012-07,759,
2012-08,768,
2012-09,769,
2012-10,769,
2012-11,721,
2012-12,750,
2013-01,755,
2013-02,754,
2013-03,766,
2013-04,751,
2013-05,736,
2013-06,721,
2013-07,718,
2013-08,721,
2013-09,729,
2013-10,742,
2013-11,745,
2013-12,743,
2014-01,721,
2014-02,749,
2014-03,744,
2014-04,744,
2014-05,758,
2014-06,750,
2014-07,736,
2014-08,738,
2014-09,733,
2014-10,728,
2014-11,715,
