"",BBK01.OELB15G,BBK01.OELB15G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:25:17,
2002-01,2.219,
2002-04,2.171,
2002-07,2.109,
2002-10,2.022,
2003-01,1.936,
2003-04,1.871,
2003-07,1.837,
2003-10,1.778,
2004-01,1.715,
2004-04,1.667,
2004-07,1.624,
2004-10,1.530,
2005-01,1.492,
2005-04,1.465,
2005-07,1.460,
2005-10,1.446,
2006-01,1.403,
2006-04,1.373,
2006-07,1.318,
2006-10,1.279,
2007-01,1.243,
2007-04,1.217,
2007-07,1.206,
2007-10,1.197,
2008-01,1.184,
2008-04,1.178,
2008-07,1.147,
2008-10,1.128,
2009-01,1.104,
2009-04,1.117,
2009-07,1.127,
2009-10,1.113,
2010-01,1.094,
2010-04,1.095,
2010-07,1.091,
2010-10,1.079,
2011-01,1.085,
2011-04,1.087,
2011-07,1.086,
2011-10,1.071,
2012-01,1.072,
2012-04,1.212,
2012-07,1.244,
2012-10,1.247,
2013-01,1.251,
2013-04,1.262,
2013-07,1.294,
2013-10,1.307,
2014-01,1.311,
2014-04,1.317,
2014-07,1.327,
