"",BBK01.OELO01Q,BBK01.OELO01Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:15:06,
2002-01,4.487,
2002-04,4.414,
2002-07,4.362,
2002-10,4.481,
2003-01,4.538,
2003-04,4.463,
2003-07,4.481,
2003-10,4.604,
2004-01,4.655,
2004-04,4.630,
2004-07,4.603,
2004-10,4.582,
2005-01,4.433,
2005-04,4.426,
2005-07,4.383,
2005-10,4.233,
2006-01,4.019,
2006-04,3.985,
2006-07,3.954,
2006-10,3.883,
2007-01,3.818,
2007-04,3.685,
2007-07,3.588,
2007-10,3.338,
2008-01,3.256,
2008-04,3.158,
2008-07,3.046,
2008-10,2.934,
2009-01,2.979,
2009-04,3.145,
2009-07,3.301,
2009-10,3.473,
2010-01,3.730,
2010-04,3.967,
2010-07,4.168,
2010-10,4.240,
2011-01,4.304,
2011-04,4.259,
2011-07,4.204,
2011-10,4.157,
2012-01,4.187,
2012-04,4.204,
2012-07,4.206,
2012-10,4.280,
2013-01,4.373,
2013-04,4.440,
2013-07,4.480,
2013-10,4.480,
2014-01,4.505,
2014-04,4.530,
2014-07,4.568,
