"",BBK01.OEHB21O,BBK01.OEHB21O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:25,
2002-01,1.439,
2002-04,1.417,
2002-07,1.471,
2002-10,1.502,
2003-01,1.618,
2003-04,1.703,
2003-07,1.699,
2003-10,1.777,
2004-01,1.910,
2004-04,1.942,
2004-07,2.086,
2004-10,2.123,
2005-01,2.168,
2005-04,2.249,
2005-07,2.372,
2005-10,2.654,
2006-01,2.573,
2006-04,2.559,
2006-07,2.545,
2006-10,2.724,
2007-01,2.674,
2007-04,2.756,
2007-07,2.679,
2007-10,2.738,
2008-01,2.728,
2008-04,2.686,
2008-07,2.681,
2008-10,2.817,
2009-01,2.809,
2009-04,2.921,
2009-07,3.005,
2009-10,3.179,
2010-01,3.202,
2010-04,3.410,
2010-07,3.509,
2010-10,3.688,
2011-01,3.757,
2011-04,3.886,
2011-07,3.897,
2011-10,3.946,
2012-01,4.008,
2012-04,4.067,
2012-07,4.038,
2012-10,4.162,
2013-01,4.346,
2013-04,4.262,
2013-07,4.163,
2013-10,4.095,
2014-01,4.074,
2014-04,3.868,
2014-07,3.765,
