"",BBFI1.Q.N.DE.W1.S1.S1.LE.A.FA.O.F81.T._T._X.N,BBFI1.Q.N.DE.W1.S1.S1.LE.A.FA.O.F81.T._T._X.N_FLAGS
"",IIP - Other Investment - Trade credits and advances - Assets - Positions - all sectors - all countries,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 16:01:28,
1999-10,86994,
2000-01,-,Nothing exists
2000-04,-,Nothing exists
2000-07,-,Nothing exists
2000-10,89065,
2001-01,-,Nothing exists
2001-04,-,Nothing exists
2001-07,-,Nothing exists
2001-10,90429,
2002-01,-,Nothing exists
2002-04,-,Nothing exists
2002-07,-,Nothing exists
2002-10,84745,
2003-01,-,Nothing exists
2003-04,-,Nothing exists
2003-07,-,Nothing exists
2003-10,86469,
2004-01,89552,
2004-04,92069,
2004-07,90225,
2004-10,88984,
2005-01,91302,
2005-04,95973,
2005-07,96601,
2005-10,97306,
2006-01,102026,
2006-04,102886,
2006-07,104601,
2006-10,107244,
2007-01,110980,
2007-04,112087,
2007-07,113005,
2007-10,112168,
2008-01,116321,
2008-04,120667,
2008-07,119385,
2008-10,111308,
2009-01,106448,
2009-04,106532,
2009-07,104702,
2009-10,101772,
2010-01,102289,
2010-04,108232,
2010-07,109210,
2010-10,112517,
2011-01,118525,
2011-04,119340,
2011-07,120499,
2011-10,117128,
2012-01,121643,
2012-04,121410,
2012-07,119028,
2012-10,81805,
2013-01,86082,
2013-04,86525,
2013-07,85399,
2013-10,84550,
2014-01,85397,
2014-04,86404,
2014-07,88649,
