"",BBDA1.M.DE.N.IM.S.A.FR.A.V.ABA.A,BBDA1.M.DE.N.IM.S.A.FR.A.V.ABA.A_FLAGS
"","Imports / At current prices, flows / Aggregate / all goods / France / Unadjusted figure",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-20 10:39:09,
1990-07,2911251,
1990-08,2433920,
1990-09,2612712,
1990-10,3396661,
1990-11,3288519,
1990-12,2932305,
1991-01,3623358,
1991-02,3091465,
1991-03,3489320,
1991-04,3600160,
1991-05,3364298,
1991-06,3495615,
1991-07,3518984,
1991-08,2759897,
1991-09,3177426,
1991-10,3727299,
1991-11,3418145,
1991-12,3083665,
1992-01,3684166,
1992-02,3330087,
1992-03,3637136,
1992-04,3737636,
1992-05,3188397,
1992-06,2977585,
1992-07,3438138,
1992-08,2349308,
1992-09,2964643,
1992-10,3313309,
1992-11,3162686,
1992-12,3296060,
1993-01,2885078,
1993-02,3207008,
1993-03,3001945,
1993-04,3001407,
1993-05,2596720,
1993-06,2887780,
1993-07,2485262,
1993-08,2172958,
1993-09,2720508,
1993-10,2893428,
1993-11,2711332,
1993-12,2902506,
1994-01,2512153,
1994-02,2624124,
1994-03,2949753,
1994-04,3222102,
1994-05,2920310,
1994-06,3132358,
1994-07,2631978,
1994-08,2460270,
1994-09,3263821,
1994-10,2939420,
1994-11,2894091,
1994-12,3404285,
1995-01,2930226,
1995-02,3109733,
1995-03,3601958,
1995-04,2965301,
1995-05,3184440,
1995-06,3295745,
1995-07,3020601,
1995-08,2492730,
1995-09,3186038,
1995-10,3471611,
1995-11,2971248,
1995-12,3159299,
1996-01,3440883,
1996-02,2888533,
1996-03,3476419,
1996-04,3426586,
1996-05,2899258,
1996-06,3450400,
1996-07,3030849,
1996-08,2533666,
1996-09,2792841,
1996-10,3474559,
1996-11,3204327,
1996-12,3054018,
1997-01,3107070,
1997-02,3454383,
1997-03,3432285,
1997-04,3404235,
1997-05,3384575,
1997-06,3696210,
1997-07,3467349,
1997-08,3005835,
1997-09,3453517,
1997-10,3952679,
1997-11,3722953,
1997-12,3379634,
1998-01,3930164,
1998-02,3456112,
1998-03,4131462,
1998-04,4072542,
1998-05,3583837,
1998-06,3796185,
1998-07,3997494,
1998-08,3312378,
1998-09,3586864,
1998-10,3843165,
1998-11,3828868,
1998-12,3922145,
1999-01,3584239,
1999-02,3461403,
1999-03,4135027,
1999-04,3925759,
1999-05,3915351,
1999-06,4073097,
1999-07,3807742,
1999-08,3462217,
1999-09,3491991,
1999-10,3873745,
1999-11,4267093,
1999-12,3561420,
2000-01,3777033,
2000-02,3340996,
2000-03,4669365,
2000-04,3989716,
2000-05,4645140,
2000-06,4196078,
2000-07,4506149,
2000-08,3802872,
2000-09,3773160,
2000-10,4738656,
2000-11,5076905,
2000-12,4345430,
2001-01,4146294,
2001-02,4199343,
2001-03,4209445,
2001-04,4313199,
2001-05,4376031,
2001-06,4344230,
2001-07,4119431,
2001-08,3650047,
2001-09,3816805,
2001-10,4005652,
2001-11,4784987,
2001-12,3777285,
2002-01,3730134,
2002-02,4095446,
2002-03,4143511,
2002-04,4221137,
2002-05,3657592,
2002-06,4204344,
2002-07,3904204,
2002-08,3761129,
2002-09,4039421,
2002-10,4385469,
2002-11,4280584,
2002-12,3777177,
2003-01,3835336,
2003-02,4149271,
2003-03,4230839,
2003-04,4222300,
2003-05,3885228,
2003-06,4257733,
2003-07,4010896,
2003-08,3274166,
2003-09,4111882,
2003-10,4365518,
2003-11,4410734,
2003-12,3790698,
2004-01,3852462,
2004-02,4051009,
2004-03,4487037,
2004-04,4115045,
2004-05,4596668,
2004-06,4608670,
2004-07,4579312,
2004-08,3618281,
2004-09,4257895,
2004-10,4508914,
2004-11,4485710,
2004-12,4373506,
