"",BBK01.OEXB01J,BBK01.OEXB01J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:28:17,
2002-01,2.562,
2002-04,2.560,
2002-07,2.578,
2002-10,2.528,
2003-01,2.404,
2003-04,2.351,
2003-07,2.397,
2003-10,2.360,
2004-01,2.353,
2004-04,2.349,
2004-07,2.352,
2004-10,2.220,
2005-01,2.239,
2005-04,2.256,
2005-07,2.333,
2005-10,2.483,
2006-01,2.498,
2006-04,2.550,
2006-07,2.632,
2006-10,2.746,
2007-01,2.743,
2007-04,2.782,
2007-07,2.803,
2007-10,2.918,
2008-01,2.916,
2008-04,3.090,
2008-07,3.150,
2008-10,3.125,
2009-01,3.144,
2009-04,3.082,
2009-07,3.056,
2009-10,3.099,
2010-01,3.092,
2010-04,3.107,
2010-07,3.145,
2010-10,3.170,
2011-01,3.163,
2011-04,3.177,
2011-07,3.262,
2011-10,3.294,
2012-01,3.368,
2012-04,3.390,
2012-07,3.430,
2012-10,3.568,
2013-01,3.466,
2013-04,3.458,
2013-07,3.488,
2013-10,3.648,
2014-01,3.786,
2014-04,3.817,
2014-07,3.653,
