"",BBEX3.M.USD.GBP.CA.AB.A02,BBEX3.M.USD.GBP.CA.AB.A02_FLAGS
"",Exchange rates (closing) for the pound sterling in the United States / GBP 1 = USD ... (selling),
unit,USD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:21:53,
1980-01,2.2663,
1980-02,2.2890,
1980-03,2.2066,
1980-04,2.2120,
1980-05,2.3052,
1980-06,2.3372,
1980-07,2.3737,
1980-08,2.3728,
1980-09,2.4014,
1980-10,2.4194,
1980-11,2.3968,
1980-12,2.3460,
1981-01,2.4051,
1981-02,2.2955,
1981-03,2.2325,
1981-04,2.1768,
1981-05,2.0912,
1981-06,1.9716,
1981-07,1.8753,
1981-08,1.8230,
1981-09,1.8174,
1981-10,1.8432,
1981-11,1.9006,
1981-12,1.9054,
1982-01,1.8871,
1982-02,1.8485,
1982-03,1.8070,
1982-04,1.7740,
1982-05,1.8113,
1982-06,1.7594,
1982-07,1.7368,
1982-08,1.7277,
1982-09,1.7131,
1982-10,1.6973,
1982-11,1.6348,
1982-12,1.6181,
1983-01,1.5690,
1983-02,1.5327,
1983-03,1.4916,
1983-04,1.5385,
1983-05,1.5742,
1983-06,1.5486,
1983-07,1.5289,
1983-08,1.5038,
1983-09,1.4996,
1983-10,1.4992,
1983-11,1.4786,
1983-12,1.4363,
1984-01,1.4076,
1984-02,1.4425,
1984-03,1.4567,
1984-04,1.4223,
1984-05,1.3899,
1984-06,1.3775,
1984-07,1.3191,
1984-08,1.3157,
1984-09,1.2568,
1984-10,1.2227,
1984-11,1.2427,
1984-12,1.1862,
1985-01,1.1272,
1985-02,1.0944,
1985-03,1.1320,
1985-04,1.2409,
1985-05,1.2497,
1985-06,1.2825,
1985-07,1.3827,
1985-08,1.3856,
1985-09,1.3643,
1985-10,1.4237,
1985-11,1.4408,
1985-12,1.4462,
1986-01,1.4267,
1986-02,1.4317,
1986-03,1.4700,
1986-04,1.5013,
1986-05,1.5213,
1986-06,1.5110,
1986-07,1.5075,
1986-08,1.4866,
1986-09,1.4692,
1986-10,1.4284,
1986-11,1.4256,
1986-12,1.4413,
1987-01,1.5070,
1987-02,1.5292,
1987-03,1.5934,
1987-04,1.6324,
1987-05,1.6674,
1987-06,1.6290,
1987-07,1.6101,
1987-08,1.6004,
1987-09,1.6456,
1987-10,1.6648,
1987-11,1.7776,
1987-12,1.8302,
1988-01,1.8005,
1988-02,1.7586,
1988-03,1.8348,
1988-04,1.8777,
1988-05,1.8694,
1988-06,1.7778,
1988-07,1.7061,
1988-08,1.6973,
1988-09,1.6853,
1988-10,1.7383,
1988-11,1.8106,
1988-12,1.8260,
1989-01,1.7749,
1989-02,1.7538,
1989-03,1.7140,
1989-04,1.7015,
1989-05,1.6318,
1989-06,1.5553,
1989-07,1.6287,
1989-08,1.5934,
1989-09,1.5739,
1989-10,1.5875,
1989-11,1.5744,
1989-12,1.5985,
1990-01,1.6525,
1990-02,1.6965,
1990-03,1.6254,
1990-04,1.6389,
1990-05,1.6779,
1990-06,1.7120,
1990-07,1.8124,
1990-08,1.9017,
1990-09,1.8817,
1990-10,1.9491,
1990-11,1.9642,
1990-12,1.9239,
1991-01,1.9358,
1991-02,1.9651,
1991-03,1.8264,
1991-04,1.7520,
1991-05,1.7266,
1991-06,1.6499,
1991-07,1.6512,
1991-08,1.6847,
1991-09,1.7284,
1991-10,1.7225,
1991-11,1.7793,
1991-12,1.8296,
1992-01,1.8094,
1992-02,1.7789,
1992-03,1.7261,
1992-04,1.7581,
1992-05,1.8106,
1992-06,1.8563,
1992-07,1.9205,
1992-08,1.9455,
1992-09,1.8454,
1992-10,1.6561,
1992-11,1.5276,
1992-12,1.5520,
1993-01,1.5342,
1993-02,1.4400,
1993-03,1.4632,
1993-04,1.5477,
1993-05,1.5496,
1993-06,1.5096,
1993-07,1.4978,
1993-08,1.4938,
1993-09,1.5262,
1993-10,1.5036,
1993-11,1.4817,
1993-12,1.4905,
1994-01,1.4942,
1994-02,1.4799,
1994-03,1.4930,
1994-04,1.4843,
1994-05,1.5043,
1994-06,1.5269,
1994-07,1.5458,
1994-08,1.5430,
1994-09,1.5666,
1994-10,1.6081,
1994-11,1.5887,
1994-12,1.5598,
1995-01,1.5757,
1995-02,1.5737,
1995-03,1.6016,
1995-04,1.6097,
1995-05,1.5890,
1995-06,1.5969,
1995-07,1.5962,
1995-08,1.5674,
1995-09,1.5605,
1995-10,1.5793,
1995-11,1.5620,
1995-12,1.5418,
1996-01,1.5303,
1996-02,1.5382,
1996-03,1.5285,
1996-04,1.5169,
1996-05,1.5163,
1996-06,1.5427,
1996-07,1.5545,
1996-08,1.5511,
1996-09,1.5601,
1996-10,1.5870,
1996-11,1.6635,
1996-12,1.6663,
1997-01,1.6601,
1997-02,1.6278,
1997-03,1.6109,
1997-04,1.6303,
1997-05,1.6334,
1997-06,1.6466,
1997-07,1.6722,
1997-08,1.6050,
1997-09,1.6026,
1997-10,1.6339,
1997-11,1.6905,
1997-12,1.6615,
1998-01,1.6351,
1998-02,1.6413,
1998-03,1.6627,
1998-04,1.6731,
1998-05,1.6380,
1998-06,1.6518,
1998-07,1.6439,
1998-08,1.6364,
1998-09,1.6839,
1998-10,1.6942,
1998-11,1.6620,
1998-12,1.6716,
1999-01,1.6504,
1999-02,1.6277,
1999-03,1.6221,
1999-04,1.6095,
1999-05,1.6161,
1999-06,1.5966,
1999-07,1.5763,
1999-08,1.6058,
1999-09,1.6253,
1999-10,1.6578,
1999-11,1.6214,
1999-12,1.6142,
2000-01,1.6408,
2000-02,1.6020,
2000-03,1.5819,
2000-04,1.5818,
2000-05,1.5090,
2000-06,1.5111,
2000-07,1.5085,
2000-08,1.4892,
2000-09,1.4341,
2000-10,1.4516,
2000-11,1.4272,
2000-12,1.4666,
2001-01,1.4778,
2001-02,1.4532,
2001-03,1.4445,
2001-04,1.4355,
2001-05,1.4275,
2001-06,1.4033,
2001-07,1.4157,
2001-08,1.4384,
2001-09,1.4653,
2001-10,1.4511,
2001-11,1.4373,
2001-12,1.4431,
2002-01,1.4324,
2002-02,1.4235,
2002-03,1.4239,
2002-04,1.4438,
2002-05,1.4606,
2002-06,1.4858,
2002-07,1.5591,
2002-08,1.5379,
2002-09,1.5568,
2002-10,1.5578,
2002-11,1.5733,
2002-12,1.5886,
2003-01,1.6188,
2003-02,1.6081,
2003-03,1.5834,
2003-04,1.5759,
2003-05,1.6233,
2003-06,1.6608,
2003-07,1.6244,
2003-08,1.5947,
2003-09,1.6162,
2003-10,1.6786,
2003-11,1.6893,
2003-12,1.7519,
2004-01,1.8231,
2004-02,1.8674,
2004-03,1.8281,
2004-04,1.8053,
2004-05,1.7875,
2004-06,1.8295,
2004-07,1.8444,
2004-08,1.8201,
2004-09,1.7935,
2004-10,1.8078,
2004-11,1.8599,
2004-12,1.9310,
2005-01,1.8786,
2005-02,1.8880,
2005-03,1.9037,
2005-04,1.8965,
2005-05,1.8558,
2005-06,1.8182,
2005-07,1.7522,
2005-08,1.7949,
2005-09,1.8081,
2005-10,1.7656,
2005-11,1.7366,
2005-12,1.7457,
2006-01,1.7668,
2006-02,1.7481,
2006-03,1.7448,
