"",BBDE1.M.DE.Y.AEA1.N2C260000.F.V.I10.A,BBDE1.M.DE.Y.AEA1.N2C260000.F.V.I10.A_FLAGS
"","Orders received / At current prices / Germany / 26 Manufacture of computer, electronic and optical products / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:17:35,
1991-01,104.9,
1991-02,95.1,
1991-03,95.8,
1991-04,99.0,
1991-05,102.1,
1991-06,92.8,
1991-07,92.1,
1991-08,104.2,
1991-09,89.9,
1991-10,97.8,
1991-11,90.2,
1991-12,90.1,
1992-01,93.3,
1992-02,94.7,
1992-03,101.0,
1992-04,108.6,
1992-05,98.9,
1992-06,90.5,
1992-07,93.4,
1992-08,95.1,
1992-09,98.5,
1992-10,86.4,
1992-11,85.7,
1992-12,87.8,
1993-01,77.0,
1993-02,84.1,
1993-03,78.8,
1993-04,72.2,
1993-05,72.5,
1993-06,78.5,
1993-07,77.5,
1993-08,81.9,
1993-09,89.7,
1993-10,78.4,
1993-11,71.6,
1993-12,81.0,
1994-01,65.6,
1994-02,66.5,
1994-03,69.6,
1994-04,69.4,
1994-05,72.6,
1994-06,70.4,
1994-07,71.1,
1994-08,67.8,
1994-09,72.9,
1994-10,73.7,
1994-11,76.2,
1994-12,79.4,
1995-01,74.3,
1995-02,75.4,
1995-03,76.1,
1995-04,73.9,
1995-05,71.0,
1995-06,74.2,
1995-07,78.2,
1995-08,74.7,
1995-09,78.9,
1995-10,68.3,
1995-11,72.9,
1995-12,74.3,
1996-01,78.7,
1996-02,77.9,
1996-03,75.8,
1996-04,79.0,
1996-05,78.4,
1996-06,80.3,
1996-07,83.1,
1996-08,76.9,
1996-09,75.8,
1996-10,83.3,
1996-11,87.7,
1996-12,81.6,
1997-01,83.6,
1997-02,76.6,
1997-03,81.0,
1997-04,83.6,
1997-05,81.8,
1997-06,86.0,
1997-07,81.6,
1997-08,82.0,
1997-09,79.2,
1997-10,83.2,
1997-11,83.4,
1997-12,82.2,
1998-01,84.6,
1998-02,84.3,
1998-03,84.8,
1998-04,82.9,
1998-05,88.7,
1998-06,85.1,
1998-07,86.4,
1998-08,83.1,
1998-09,89.6,
1998-10,80.4,
1998-11,83.9,
1998-12,83.8,
1999-01,83.8,
1999-02,87.0,
1999-03,87.0,
1999-04,83.2,
1999-05,91.6,
1999-06,104.4,
1999-07,103.4,
1999-08,103.6,
1999-09,104.1,
1999-10,104.6,
1999-11,107.8,
1999-12,111.2,
2000-01,105.5,
2000-02,114.3,
2000-03,114.3,
2000-04,125.3,
2000-05,124.6,
2000-06,130.9,
2000-07,124.7,
2000-08,135.0,
2000-09,132.5,
2000-10,137.5,
2000-11,120.9,
2000-12,122.6,
2001-01,112.7,
2001-02,112.9,
2001-03,116.1,
2001-04,104.6,
2001-05,106.9,
2001-06,105.4,
2001-07,106.6,
2001-08,103.0,
2001-09,95.5,
2001-10,97.8,
2001-11,104.2,
2001-12,101.7,
2002-01,98.1,
2002-02,107.5,
2002-03,106.4,
2002-04,108.1,
2002-05,110.3,
2002-06,107.2,
2002-07,99.3,
2002-08,104.8,
2002-09,104.5,
2002-10,104.2,
2002-11,105.2,
2002-12,100.3,
2003-01,103.6,
2003-02,105.4,
2003-03,102.2,
2003-04,101.4,
2003-05,97.5,
2003-06,104.2,
2003-07,104.3,
2003-08,108.5,
2003-09,111.2,
2003-10,106.6,
2003-11,112.9,
2003-12,112.1,
2004-01,107.1,
2004-02,109.5,
2004-03,107.4,
2004-04,108.9,
2004-05,113.5,
2004-06,114.4,
2004-07,113.7,
2004-08,113.0,
2004-09,107.8,
2004-10,109.8,
2004-11,107.5,
2004-12,109.2,
2005-01,113.3,
2005-02,104.8,
2005-03,111.3,
