"",BBK01.OELB08J,BBK01.OELB08J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:28:40,
2002-01,1.110,
2002-04,1.128,
2002-07,1.141,
2002-10,1.153,
2003-01,1.154,
2003-04,1.163,
2003-07,1.177,
2003-10,1.194,
2004-01,1.205,
2004-04,1.216,
2004-07,1.238,
2004-10,1.311,
2005-01,1.311,
2005-04,1.324,
2005-07,1.341,
2005-10,1.348,
2006-01,1.376,
2006-04,1.384,
2006-07,1.390,
2006-10,1.341,
2007-01,1.338,
2007-04,1.336,
2007-07,1.337,
2007-10,1.340,
2008-01,1.339,
2008-04,1.338,
2008-07,1.349,
2008-10,1.354,
2009-01,1.348,
2009-04,1.366,
2009-07,1.380,
2009-10,1.388,
2010-01,1.380,
2010-04,1.388,
2010-07,1.397,
2010-10,1.426,
2011-01,1.416,
2011-04,1.432,
2011-07,1.447,
2011-10,1.469,
2012-01,1.467,
2012-04,2.015,
2012-07,2.033,
2012-10,2.057,
2013-01,2.068,
2013-04,2.078,
2013-07,2.088,
2013-10,2.104,
2014-01,1.869,
2014-04,1.892,
2014-07,1.907,
