"",BBK01.CEHOQ2,BBK01.CEHOQ2_FLAGS
"",Other deposits (consolidated) debtor: All sectors                  creditor: Domestic financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:15:52,
1991-01,13.9,
1991-04,-15.2,
1991-07,-5.1,
1991-10,22.6,
1992-01,-3.6,
1992-04,-15.6,
1992-07,-1.2,
1992-10,19.7,
1993-01,14.4,
1993-04,9.3,
1993-07,14.1,
1993-10,42.8,
1994-01,-13.5,
1994-04,-8.8,
1994-07,12.3,
1994-10,28.2,
1995-01,8.8,
1995-04,25.3,
1995-07,13.5,
1995-10,8.4,
1996-01,14.4,
1996-04,8.1,
1996-07,-0.6,
1996-10,24.4,
1997-01,17.1,
1997-04,4.0,
1997-07,5.8,
1997-10,31.7,
1998-01,6.8,
1998-04,11.0,
1998-07,2.7,
1998-10,46.2,
1999-01,-26.1,
1999-04,-4.0,
1999-07,28.3,
1999-10,21.5,
2000-01,7.8,
2000-04,1.2,
2000-07,32.7,
2000-10,15.5,
2001-01,18.7,
2001-04,-11.7,
2001-07,38.7,
2001-10,31.4,
2002-01,12.2,
2002-04,22.7,
2002-07,47.7,
2002-10,24.7,
2003-01,50.3,
2003-04,44.9,
2003-07,-13.0,
2003-10,27.9,
2004-01,15.1,
2004-04,28.6,
2004-07,4.6,
2004-10,102.3,
2005-01,17.7,
2005-04,16.3,
2005-07,44.8,
2005-10,7.2,
2006-01,57.4,
2006-04,46.2,
2006-07,19.1,
2006-10,24.1,
2007-01,36.7,
2007-04,52.1,
2007-07,59.1,
2007-10,75.7,
2008-01,26.7,
2008-04,3.1,
2008-07,65.9,
2008-10,-22.9,
2009-01,-37.2,
2009-04,-13.0,
2009-07,-63.3,
2009-10,39.4,
2010-01,-57.5,
2010-04,21.0,
2010-07,-33.1,
2010-10,-75.6,
2011-01,-47.2,
2011-04,38.1,
2011-07,46.8,
2011-10,-37.1,
2012-01,-44.0,
2012-04,-7.1,
2012-07,-19.7,
2012-10,-63.6,
2013-01,14.8,
2013-04,21.0,
2013-07,-92.7,
2013-10,-1.0,
2014-01,53.3,
