"",BBFB1.M.N.DE.W1.S1.S1.T.L.FA.D3.F4.T._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.L.FA.D3.F4.T._T._X.N_FLAGS
2006-02,77.816,
2006-03,-188.033,
2006-04,-139.440,
2006-05,-201.466,
2006-06,3279.429,
2006-07,1673.514,
2006-08,-905.008,
2006-09,-35.440,
2006-10,117.283,
2006-11,-254.964,
2006-12,4566.109,
2007-01,-83.348,
2007-02,643.742,
2007-03,225.767,
2007-04,-42.527,
2007-05,300.716,
2007-06,93.138,
2007-07,14225.577,
2007-08,201.371,
2007-09,-1022.268,
2007-10,277.660,
2007-11,-296.620,
2007-12,455.877,
2008-01,2124.162,
2008-02,925.374,
2008-03,967.258,
2008-04,218.775,
2008-05,191.871,
2008-06,3027.992,
2008-07,1071.479,
2008-08,70.644,
2008-09,-12.489,
2008-10,-8567.309,
2008-11,4330.030,
2008-12,-1064.635,
2009-01,821.197,
2009-02,183.712,
2009-03,-277.904,
2009-04,1066.843,
2009-05,-1293.835,
2009-06,-1553.605,
2009-07,174.071,
2009-08,-83.886,
2009-09,-42.766,
2009-10,578.261,
2009-11,207.740,
2009-12,1809.682,
2010-01,2908.795,
2010-02,549.209,
2010-03,3252.338,
2010-04,86.155,
2010-05,638.144,
2010-06,3013.141,
2010-07,661.335,
2010-08,618.578,
2010-09,-227.028,
2010-10,627.209,
2010-11,263.105,
2010-12,6003.397,
2011-01,1495.099,
2011-02,589.289,
2011-03,666.315,
2011-04,412.632,
2011-05,110.571,
2011-06,810.983,
2011-07,-430.380,
2011-08,-1618.256,
2011-09,217.217,
2011-10,297.613,
2011-11,1580.610,
2011-12,845.331,
2012-01,645.970,
2012-02,1312.873,
2012-03,3881.621,
2012-04,124.587,
2012-05,-161.583,
2012-06,1056.766,
2012-07,-201.869,
2012-08,-3447.005,
2012-09,1364.944,
2012-10,402.589,
2012-11,585.909,
2012-12,-1392.006,
2013-01,1479.195,
2013-02,-195.797,
2013-03,1993.494,
2013-04,262.791,
2013-05,1099.364,
2013-06,-81.319,
2013-07,-40.635,
2013-08,-1192.080,
2013-09,-1404.733,
2013-10,-3733.540,
2013-11,4019.699,
2013-12,1349.907,
2014-01,-2628.813,
2014-02,-897.001,Provisional value
2014-03,281.772,Provisional value
2014-04,-604.646,Provisional value
2014-05,1860.714,Provisional value
2014-06,-154.961,Provisional value
2014-07,-1239.543,Provisional value
2014-08,3034.227,Provisional value
2014-09,1291.064,
2014-10,376.758,
2014-11,238.413,
2014-12,474.401,Provisional value
