"",BBK01.CEBF02,BBK01.CEBF02_FLAGS
"",longer-term loans debtor: All sectors                    creditor: Domestic financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:18:32,
1991-01,1364.9,
1991-04,1391.0,
1991-07,1429.8,
1991-10,1474.0,
1992-01,1501.7,
1992-04,1524.4,
1992-07,1554.7,
1992-10,1576.0,
1993-01,1601.6,
1993-04,1641.5,
1993-07,1678.4,
1993-10,1737.7,
1994-01,1763.0,
1994-04,1790.0,
1994-07,1820.0,
1994-10,1845.9,
1995-01,1853.9,
1995-04,1886.4,
1995-07,1937.4,
1995-10,1999.5,
1996-01,2031.5,
1996-04,2055.1,
1996-07,2094.0,
1996-10,2151.3,
1997-01,2173.7,
1997-04,2212.5,
1997-07,2251.5,
1997-10,2307.8,
1998-01,2335.7,
1998-04,2361.4,
1998-07,2388.6,
1998-10,2460.1,
1999-01,2484.1,
1999-04,2534.6,
1999-07,2572.7,
1999-10,2634.2,
2000-01,2652.5,
2000-04,2686.9,
2000-07,2712.6,
2000-10,2739.1,
2001-01,2751.6,
2001-04,2768.7,
2001-07,2784.4,
2001-10,2814.0,
2002-01,2816.9,
2002-04,2807.6,
2002-07,2808.1,
2002-10,2832.7,
2003-01,2823.5,
2003-04,2818.5,
2003-07,2825.8,
2003-10,2839.9,
2004-01,2836.8,
2004-04,2847.5,
2004-07,2852.8,
2004-10,2849.5,
2005-01,2842.8,
2005-04,2855.2,
2005-07,2867.0,
2005-10,2866.6,
2006-01,2876.7,
2006-04,2879.7,
2006-07,2889.5,
2006-10,2883.5,
2007-01,2878.1,
2007-04,2894.7,
2007-07,2910.6,
2007-10,2911.4,
2008-01,2928.5,
2008-04,2968.0,
2008-07,3011.9,
2008-10,3026.5,
2009-01,3021.6,
2009-04,3030.5,
2009-07,3040.8,
2009-10,3054.6,
2010-01,3056.4,
2010-04,3085.3,
2010-07,3078.0,
2010-10,3058.2,
2011-01,3044.3,
2011-04,3041.1,
2011-07,3076.1,
2011-10,3122.3,
2012-01,3116.6,
2012-04,3130.8,
2012-07,3136.2,
2012-10,3132.5,
2013-01,3136.5,
2013-04,3137.4,
2013-07,3127.8,
2013-10,3128.7,
2014-01,3110.8,
