"",BBK01.OEAC04P,BBK01.OEAC04P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:49:53,
2002-01,0.480,
2002-04,0.476,
2002-07,0.459,
2002-10,0.449,
2003-01,0.439,
2003-04,0.432,
2003-07,0.401,
2003-10,0.385,
2004-01,0.392,
2004-04,0.398,
2004-07,0.388,
2004-10,0.372,
2005-01,0.388,
2005-04,0.393,
2005-07,0.383,
2005-10,0.371,
2006-01,0.387,
2006-04,0.392,
2006-07,0.394,
2006-10,0.389,
2007-01,0.415,
2007-04,0.410,
2007-07,0.413,
2007-10,0.403,
2008-01,0.427,
2008-04,0.413,
2008-07,0.417,
2008-10,0.409,
2009-01,0.663,
2009-04,0.661,
2009-07,0.679,
2009-10,0.675,
2010-01,0.684,
2010-04,0.707,
2010-07,0.661,
2010-10,0.647,
2011-01,0.675,
2011-04,0.681,
2011-07,0.689,
2011-10,0.656,
2012-01,0.700,
2012-04,0.675,
2012-07,0.696,
2012-10,0.668,
2013-01,0.706,
2013-04,0.717,
2013-07,0.734,
2013-10,0.725,
2014-01,0.744,
2014-04,0.732,
2014-07,0.731,
