"",BBK01.OEXO02V,BBK01.OEXO02V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:16:17,
2002-01,0.417,
2002-04,0.359,
2002-07,0.343,
2002-10,0.305,
2003-01,0.356,
2003-04,0.268,
2003-07,0.304,
2003-10,0.275,
2004-01,0.317,
2004-04,0.271,
2004-07,0.215,
2004-10,0.261,
2005-01,0.356,
2005-04,0.246,
2005-07,0.233,
2005-10,0.272,
2006-01,0.360,
2006-04,0.336,
2006-07,0.303,
2006-10,0.381,
2007-01,0.637,
2007-04,0.424,
2007-07,0.446,
2007-10,0.535,
2008-01,0.583,
2008-04,0.462,
2008-07,0.478,
2008-10,0.925,
2009-01,0.441,
2009-04,0.399,
2009-07,0.380,
2009-10,0.395,
2010-01,0.355,
2010-04,0.264,
2010-07,0.268,
2010-10,0.495,
2011-01,0.530,
2011-04,0.300,
2011-07,0.278,
2011-10,0.292,
2012-01,0.326,
2012-04,0.266,
2012-07,0.346,
2012-10,0.249,
2013-01,0.255,
2013-04,0.207,
2013-07,0.189,
2013-10,0.204,
2014-01,0.204,
2014-04,0.171,
2014-07,0.301,
