"",BBK01.OEXB04U,BBK01.OEXB04U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:41:22,
2002-01,4.256,
2002-04,4.362,
2002-07,4.386,
2002-10,4.578,
2003-01,4.617,
2003-04,4.675,
2003-07,4.781,
2003-10,4.864,
2004-01,4.851,
2004-04,4.799,
2004-07,4.814,
2004-10,4.850,
2005-01,4.851,
2005-04,4.806,
2005-07,4.906,
2005-10,4.916,
2006-01,4.934,
2006-04,4.997,
2006-07,5.073,
2006-10,5.181,
2007-01,5.193,
2007-04,5.176,
2007-07,5.213,
2007-10,5.529,
2008-01,5.229,
2008-04,5.155,
2008-07,5.194,
2008-10,5.205,
2009-01,5.156,
2009-04,5.163,
2009-07,5.276,
2009-10,5.345,
2010-01,5.339,
2010-04,5.340,
2010-07,5.446,
2010-10,5.586,
2011-01,5.621,
2011-04,5.702,
2011-07,5.760,
2011-10,5.791,
2012-01,5.795,
2012-04,5.836,
2012-07,5.855,
2012-10,5.889,
2013-01,6.139,
2013-04,6.168,
2013-07,6.206,
2013-10,6.333,
2014-01,6.323,
2014-04,6.393,
2014-07,6.225,
