"",BBK01.OEHJ02V,BBK01.OEHJ02V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:02:24,
2002-01,0.811,
2002-04,0.849,
2002-07,0.870,
2002-10,1.025,
2003-01,0.892,
2003-04,0.899,
2003-07,0.960,
2003-10,1.073,
2004-01,0.950,
2004-04,0.965,
2004-07,1.005,
2004-10,1.167,
2005-01,0.994,
2005-04,1.037,
2005-07,1.110,
2005-10,1.278,
2006-01,1.111,
2006-04,1.074,
2006-07,1.144,
2006-10,1.223,
2007-01,1.151,
2007-04,1.181,
2007-07,1.234,
2007-10,1.311,
2008-01,1.214,
2008-04,1.235,
2008-07,1.267,
2008-10,1.451,
2009-01,1.634,
2009-04,1.639,
2009-07,1.824,
2009-10,1.960,
2010-01,1.872,
2010-04,1.834,
2010-07,1.938,
2010-10,2.077,
2011-01,1.949,
2011-04,1.966,
2011-07,1.980,
2011-10,2.143,
2012-01,2.133,
2012-04,2.137,
2012-07,2.265,
2012-10,2.513,
2013-01,2.438,
2013-04,2.472,
2013-07,2.623,
2013-10,2.705,
2014-01,2.721,
2014-04,2.750,
2014-07,2.828,
