"",BBK01.CEBBCQ,BBK01.CEBBCQ_FLAGS
"",Long-term debt securities debtor: General government   (consolidated)                  creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:23:19,
1991-01,252.6,
1991-04,258.0,
1991-07,266.7,
1991-10,280.5,
1992-01,297.9,
1992-04,302.4,
1992-07,322.6,
1992-10,367.6,
1993-01,397.4,
1993-04,409.8,
1993-07,432.9,
1993-10,459.5,
1994-01,473.7,
1994-04,461.0,
1994-07,463.5,
1994-10,473.2,
1995-01,568.6,
1995-04,583.8,
1995-07,596.4,
1995-10,613.7,
1996-01,606.9,
1996-04,614.6,
1996-07,628.5,
1996-10,641.7,
1997-01,655.1,
1997-04,672.8,
1997-07,669.9,
1997-10,677.7,
1998-01,696.6,
1998-04,702.3,
1998-07,722.6,
1998-10,736.6,
1999-01,743.2,
1999-04,734.5,
1999-07,725.0,
1999-10,729.8,
2000-01,734.1,
2000-04,739.5,
2000-07,739.2,
2000-10,764.2,
2001-01,752.1,
2001-04,747.6,
2001-07,765.5,
2001-10,782.9,
2002-01,786.3,
2002-04,808.7,
2002-07,848.6,
2002-10,854.9,
2003-01,900.7,
2003-04,925.9,
2003-07,905.0,
2003-10,915.0,
2004-01,965.2,
2004-04,960.5,
2004-07,988.5,
2004-10,1013.4,
2005-01,1024.2,
2005-04,1074.1,
2005-07,1090.0,
2005-10,1089.8,
2006-01,1083.8,
2006-04,1084.2,
2006-07,1105.4,
2006-10,1113.8,
2007-01,1100.9,
2007-04,1086.5,
2007-07,1088.4,
2007-10,1114.0,
2008-01,1127.6,
2008-04,1119.5,
2008-07,1143.5,
2008-10,1211.6,
2009-01,1219.8,
2009-04,1234.6,
2009-07,1238.2,
2009-10,1263.0,
2010-01,1309.1,
2010-04,1371.6,
2010-07,1410.1,
2010-10,1396.1,
2011-01,1376.7,
2011-04,1420.3,
2011-07,1502.3,
2011-10,1492.9,
2012-01,1537.8,
2012-04,1600.3,
2012-07,1612.6,
2012-10,1635.4,
2013-01,1637.0,
2013-04,1608.5,
2013-07,1580.0,
2013-10,1597.5,
2014-01,1630.7,
