"",BBSF2.M.1.T.00000.AKT01.I.F.AKT.DE.00000.000000.Z01.00,BBSF2.M.1.T.00000.AKT01.I.F.AKT.DE.00000.000000.Z01.00_FLAGS
"",Funds total / Equity funds / Shares / Germany,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:38:20,
2009-09,37921,
2009-10,36888,
2009-11,37370,
2009-12,39210,
2010-01,36426,
2010-02,37235,
2010-03,40767,
2010-04,40167,
2010-05,44596,
2010-06,39088,
2010-07,40235,
2010-08,38829,
2010-09,41060,
2010-10,44031,
2010-11,45277,
2010-12,47859,
2011-01,48216,
2011-02,49094,
2011-03,49122,
2011-04,51654,
2011-05,51541,
2011-06,51649,
2011-07,53246,
2011-08,43899,
2011-09,41734,
2011-10,47006,
2011-11,45454,
2011-12,44634,
2012-01,48501,
2012-02,51033,
2012-03,51353,
2012-04,45565,
2012-05,44746,
2012-06,45011,
2012-07,48078,
2012-08,48667,
2012-09,49976,
2012-10,49854,
2012-11,50798,
2012-12,53706,
2013-01,54383,
2013-02,54196,
2013-03,54096,
2013-04,53557,
2013-05,55845,
2013-06,53101,
2013-07,55337,
2013-08,53832,
2013-09,56349,
2013-10,58947,
2013-11,61938,
2013-12,62169,
2014-01,59723,
2014-02,61996,
2014-03,60916,
2014-04,60076,
2014-05,62087,
2014-06,61142,
2014-07,58222,
2014-08,59199,
2014-09,55772,
2014-10,54380,
2014-11,57364,
