"",BBK01.CEFFCC,BBK01.CEFFCC_FLAGS
"",long-term loans  debtor: General government                                                         creditor: General government,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:33:51,
1999-01,17.8,
1999-04,17.8,
1999-07,17.7,
1999-10,17.7,
2000-01,19.5,
2000-04,18.8,
2000-07,19.2,
2000-10,19.1,
2001-01,19.0,
2001-04,18.9,
2001-07,18.8,
2001-10,18.8,
2002-01,18.6,
2002-04,18.6,
2002-07,18.5,
2002-10,18.4,
2003-01,18.2,
2003-04,18.0,
2003-07,18.0,
2003-10,18.1,
2004-01,17.8,
2004-04,17.6,
2004-07,17.5,
2004-10,17.5,
2005-01,17.2,
2005-04,17.0,
2005-07,17.0,
2005-10,17.1,
2006-01,17.0,
2006-04,16.8,
2006-07,16.8,
2006-10,16.5,
2007-01,15.9,
2007-04,16.1,
2007-07,15.9,
2007-10,15.9,
2008-01,15.8,
2008-04,15.6,
2008-07,15.6,
2008-10,15.2,
2009-01,15.0,
2009-04,15.1,
2009-07,14.9,
2009-10,14.6,
2010-01,13.9,
2010-04,13.6,
2010-07,13.7,
2010-10,13.6,
2011-01,13.7,
2011-04,13.9,
2011-07,13.9,
2011-10,13.4,
2012-01,14.9,
2012-04,14.3,
2012-07,14.1,
2012-10,12.5,
2013-01,12.7,
2013-04,12.3,
2013-07,12.1,
2013-10,12.9,
2014-01,12.6,
2014-04,12.6,
2014-07,12.4,
