"",BBK01.OEAD18J,BBK01.OEAD18J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:58:22,
2002-01,0.040,
2002-04,0.036,
2002-07,0.033,
2002-10,0.034,
2003-01,0.035,
2003-04,0.031,
2003-07,0.029,
2003-10,0.026,
2004-01,0.028,
2004-04,0.027,
2004-07,0.022,
2004-10,0.023,
2005-01,0.026,
2005-04,0.028,
2005-07,0.027,
2005-10,0.029,
2006-01,0.030,
2006-04,0.034,
2006-07,0.036,
2006-10,0.036,
2007-01,0.048,
2007-04,0.046,
2007-07,0.045,
2007-10,0.035,
2008-01,0.040,
2008-04,0.046,
2008-07,0.043,
2008-10,0.050,
2009-01,0.051,
2009-04,0.044,
2009-07,0.046,
2009-10,0.047,
2010-01,0.028,
2010-04,0.053,
2010-07,0.058,
2010-10,0.058,
2011-01,0.060,
2011-04,0.059,
2011-07,0.064,
2011-10,0.062,
2012-01,0.069,
2012-04,0.075,
2012-07,0.087,
2012-10,0.076,
2013-01,0.078,
2013-04,0.066,
2013-07,0.068,
2013-10,0.070,
2014-01,0.066,
2014-04,0.064,
2014-07,0.063,
