"",BBDA1.M.DE.N.EX.S.A.B0.A.V.ABA.A,BBDA1.M.DE.N.EX.S.A.B0.A.V.ABA.A_FLAGS
"","German foreign trade: exports / At current prices, flows / Aggregate / all goods / EU (Member States and Institutions of the European Union) fixed composition / Unadjusted figure",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-20 10:39:02,
1993-01,15139857,
1993-02,18036449,
1993-03,18735665,
1993-04,17643469,
1993-05,16989271,
1993-06,17563219,
1993-07,16253662,
1993-08,14913842,
1993-09,17418223,
1993-10,17798001,
1993-11,17745527,
1993-12,17180030,
1994-01,16186141,
1994-02,17404981,
1994-03,20539942,
1994-04,18417948,
1994-05,19041055,
1994-06,20326735,
1994-07,17745487,
1994-08,17407384,
1994-09,19327301,
1994-10,19797708,
1994-11,19338086,
1994-12,19885443,
1995-01,19779833,
1995-02,19957651,
1995-03,22026839,
1995-04,19943871,
1995-05,21054405,
1995-06,22378464,
1995-07,19171098,
1995-08,18229712,
1995-09,21702079,
1995-10,21815854,
1995-11,21250098,
1995-12,20094869,
1996-01,21707934,
1996-02,20930833,
1996-03,21965031,
1996-04,21999357,
1996-05,21298237,
1996-06,21380816,
1996-07,22395734,
1996-08,18737684,
1996-09,20999772,
1996-10,24210403,
1996-11,22703663,
1996-12,21686227,
1997-01,21351500,
1997-02,22702146,
1997-03,23301463,
1997-04,23417343,
1997-05,23546036,
1997-06,25563761,
1997-07,24759595,
1997-08,21107453,
1997-09,24648060,
1997-10,26249575,
1997-11,25882688,
1997-12,24790565,
1998-01,24901713,
1998-02,26040028,
1998-03,26911174,
1998-04,28393075,
1998-05,25582232,
1998-06,28298946,
1998-07,28065939,
1998-08,22312887,
1998-09,25633689,
1998-10,28834867,
1998-11,27787513,
1998-12,24880143,
1999-01,24653094,
1999-02,26695149,
1999-03,28162958,
1999-04,27738579,
1999-05,26719608,
1999-06,29784753,
1999-07,27891318,
1999-08,25467558,
1999-09,28281968,
1999-10,29279337,
1999-11,32366473,
1999-12,28213018,
2000-01,28584299,
2000-02,30785765,
2000-03,34075527,
2000-04,30639970,
2000-05,33792756,
2000-06,32391778,
2000-07,31654413,
2000-08,29102721,
2000-09,31522523,
2000-10,36674144,
2000-11,36985885,
2000-12,31751361,
2001-01,33638383,
2001-02,34447849,
2001-03,35774869,
2001-04,34689471,
2001-05,34402846,
2001-06,34273585,
2001-07,34606946,
2001-08,31834603,
2001-09,31822041,
2001-10,36324380,
2001-11,35386639,
2001-12,30389051,
2002-01,32519482,
2002-02,33299726,
2002-03,34450176,
2002-04,35814428,
2002-05,32052017,
2002-06,36646082,
2002-07,34652223,
2002-08,32106690,
2002-09,35040042,
2002-10,37284662,
2002-11,38038681,
2002-12,32657329,
2003-01,34110779,
2003-02,35248844,
2003-03,37893808,
2003-04,35316801,
2003-05,34898773,
2003-06,35454060,
2003-07,36536538,
2003-08,31576631,
2003-09,38107225,
2003-10,38852937,
2003-11,39432864,
2003-12,35740374,
2004-01,35866489,
2004-02,37204862,
2004-03,42369834,
2004-04,39679563,
2004-05,39299820,
2004-06,40485769,
2004-07,39245622,
2004-08,35726715,
2004-09,40252805,
2004-10,42403095,
2004-11,44872496,
2004-12,37040710,
2005-01,39151844,
2005-02,39603375,
2005-03,42920397,
2005-04,42599276,
2005-05,41812166,
2005-06,44473942,
2005-07,40681437,
2005-08,38793807,
2005-09,44228942,
2005-10,44476428,
2005-11,47193571,
2005-12,42031369,
2006-01,44355160,
2006-02,44739780,
2006-03,50042842,
2006-04,45385788,
2006-05,47269674,
2006-06,48154150,
2006-07,46061444,
2006-08,42979244,
2006-09,48836514,
2006-10,52237668,
2006-11,51921762,
2006-12,45522052,
2007-01,50357155,
2007-02,51131034,
2007-03,55531716,
2007-04,51906304,
2007-05,51662389,
2007-06,53236110,
2007-07,51961233,
2007-08,47786949,
2007-09,52481189,
2007-10,57438111,
2007-11,56456061,
2007-12,46640762,
2008-01,53549079,
2008-02,53892315,
2008-03,53903349,
2008-04,57275002,
2008-05,51744442,
2008-06,55787703,
2008-07,54125188,
2008-08,46561463,
2008-09,54927670,
2008-10,56075371,
2008-11,47641030,
2008-12,40079837,
2009-01,41284544,
2009-02,40287716,
2009-03,44695879,
2009-04,40916424,
2009-05,38602840,
2009-06,41785701,
2009-07,42101441,
2009-08,36655603,
2009-09,45849275,
2009-10,46246224,
2009-11,43845112,
2009-12,40653374,
