"",BBFN1.M.DE.N.1.L.IE.S1P.F0.L.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.IE.S1P.F0.L.BN00.Z01.BGA.X001.D_FLAGS
"",Long-term liabilities of enterprises vis-à-vis non-residents arising from financial operations / Total / Ireland,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:10:43,
1982-09,0.019,
1982-10,0.019,
1982-11,0.019,
1982-12,0.018,
1983-01,0.018,
1983-02,0.018,
1983-03,0.018,
1983-04,0.019,
1983-05,0.019,
1983-06,0.018,
1983-07,0.017,
1983-08,0.017,
1983-09,0.017,
1983-10,0.017,
1983-11,0.017,
1983-12,0.017,
1984-01,0.017,
1984-02,0.017,
1984-03,0.017,
1984-04,0.017,
1984-05,0.017,
1984-06,0.017,
1984-07,0.017,
1984-08,0.017,
1984-09,0.017,
1984-10,0.017,
1984-11,0.017,
1984-12,0.017,
1985-01,0.017,
1985-02,0.017,
1985-03,0.016,
1985-04,0.016,
1985-05,0.016,
1985-06,0.020,
1985-07,0.020,
1985-08,0.020,
1985-09,0.020,
1985-10,0.016,
1985-11,0.016,
1985-12,0.015,
1986-01,0.015,
1986-02,0.015,
1986-03,0.016,
1986-04,0.016,
1986-05,0.016,
1986-06,0.016,
1986-07,0.017,
1986-08,0.017,
1986-09,0.017,
1986-10,0.017,
1986-11,0.017,
1986-12,0.017,
1987-01,0.017,
1987-02,0.020,
1987-03,0.020,
1987-04,0.014,
1987-05,0.013,
1987-06,0.013,
1987-07,0.013,
1987-08,0.013,
1987-09,0.013,
1987-10,0.013,
1987-11,0.013,
1987-12,0.013,
1988-01,0.013,
1988-02,0.012,
1988-03,0.012,
1988-04,0.012,
1988-05,0.012,
1988-06,0.079,
1988-07,0.075,
1988-08,0.079,
1988-09,0.075,
1988-10,0.076,
1988-11,0.063,
1988-12,0.060,
1989-01,0.014,
1989-02,0.013,
1989-03,0.014,
1989-04,0.047,
1989-05,0.047,
1989-06,0.047,
1989-07,0.049,
1989-08,0.049,
1989-09,0.049,
1989-10,0.049,
1989-11,0.049,
1989-12,0.049,
1990-01,0.049,
1990-02,0.049,
1990-03,0.054,
1990-04,0.056,
1990-05,0.056,
1990-06,0.056,
1990-07,0.050,
1990-08,0.055,
1990-09,0.055,
1990-10,0.058,
1990-11,0.063,
1990-12,0.075,
1991-01,0.129,
1991-02,0.134,
1991-03,0.130,
1991-04,0.149,
1991-05,0.149,
1991-06,0.150,
1991-07,0.149,
1991-08,0.166,
1991-09,0.171,
1991-10,0.171,
1991-11,0.204,
1991-12,0.225,
1992-01,0.430,
1992-02,0.444,
1992-03,0.459,
1992-04,0.463,
1992-05,0.416,
1992-06,0.452,
1992-07,0.451,
1992-08,0.554,
1992-09,0.555,
1992-10,0.555,
1992-11,0.596,
1992-12,0.614,
1993-01,0.667,
1993-02,0.668,
1993-03,0.681,
1993-04,0.679,
1993-05,0.680,
1993-06,0.710,
1993-07,0.701,
1993-08,0.719,
1993-09,0.717,
1993-10,0.713,
1993-11,0.734,
1993-12,0.760,
1994-01,0.768,
1994-02,0.986,
1994-03,0.988,
1994-04,1.122,
1994-05,1.144,
1994-06,1.034,
1994-07,1.069,
1994-08,1.089,
1994-09,1.133,
1994-10,1.144,
1994-11,1.143,
1994-12,1.155,
1995-01,1.149,
1995-02,1.166,
1995-03,1.171,
1995-04,1.225,
1995-05,1.203,
1995-06,1.238,
1995-07,1.247,
1995-08,1.249,
1995-09,1.265,
1995-10,1.274,
1995-11,1.268,
1995-12,1.291,
1996-01,1.264,
1996-02,1.359,
1996-03,1.483,
1996-04,1.502,
1996-05,1.513,
1996-06,1.561,
1996-07,1.589,
1996-08,1.578,
1996-09,1.618,
1996-10,1.635,
1996-11,1.621,
1996-12,1.539,
1997-01,1.514,
1997-02,1.495,
1997-03,1.499,
1997-04,1.665,
1997-05,1.666,
1997-06,1.668,
1997-07,1.690,
1997-08,1.701,
1997-09,1.693,
1997-10,1.694,
1997-11,1.703,
1997-12,1.644,
1998-01,1.640,
1998-02,1.711,
1998-03,1.364,
1998-04,1.491,
1998-05,1.555,
1998-06,1.672,
1998-07,1.674,
1998-08,1.823,
1998-09,1.670,
1998-10,1.692,
1998-11,1.582,
1998-12,1.832,
1999-01,1.923,
1999-02,1.862,
1999-03,1.840,
1999-04,1.870,
1999-05,2.049,
1999-06,2.048,
1999-07,1.986,
1999-08,2.083,
1999-09,2.053,
1999-10,2.079,
1999-11,2.111,
1999-12,2.237,
2000-01,2.490,
2000-02,2.491,
2000-03,2.482,
2000-04,2.466,
2000-05,2.507,
2000-06,2.496,
2000-07,2.605,
2000-08,2.718,
2000-09,2.692,
2000-10,2.654,
2000-11,2.654,
2000-12,2.405,
2001-01,2.576,
2001-02,2.812,
2001-03,2.790,
2001-04,2.784,
2001-05,2.774,
2001-06,2.537,
2001-07,2.510,
2001-08,2.488,
2001-09,2.445,
2001-10,2.434,
2001-11,2.439,
2001-12,2.354,
2002-01,2.457,
2002-02,2.464,
2002-03,2.413,
2002-04,2.488,
2002-05,2.521,
2002-06,2.781,
2002-07,2.809,
2002-08,2.925,
2002-09,2.932,
2002-10,2.989,
2002-11,2.967,
2002-12,2.485,
2003-01,2.470,
2003-02,2.654,
2003-03,2.830,
2003-04,2.470,
2003-05,2.501,
2003-06,2.495,
2003-07,2.201,
2003-08,2.163,
2003-09,3.152,
2003-10,3.152,
2003-11,3.139,
2003-12,3.345,
2004-01,3.385,
2004-02,3.369,
2004-03,3.282,
2004-04,3.267,
2004-05,3.258,
2004-06,2.236,
2004-07,2.303,
2004-08,2.418,
2004-09,3.229,
2004-10,3.283,
2004-11,3.248,
2004-12,3.688,
2005-01,2.864,
2005-02,2.776,
2005-03,2.798,
2005-04,2.838,
2005-05,2.866,
2005-06,2.866,
2005-07,2.904,
2005-08,2.914,
2005-09,3.094,
2005-10,5.654,
2005-11,5.724,
2005-12,5.750,
2006-01,5.682,
2006-02,5.733,
2006-03,5.901,
2006-04,6.547,
2006-05,6.685,
2006-06,6.406,
2006-07,6.684,
2006-08,6.753,
2006-09,6.717,
2006-10,6.687,
2006-11,7.189,
2006-12,7.213,
2007-01,7.065,
2007-02,7.656,
2007-03,7.236,
2007-04,7.496,
2007-05,7.750,
2007-06,7.696,
2007-07,8.040,
2007-08,8.583,
2007-09,8.724,
2007-10,10.218,
2007-11,10.228,
2007-12,9.750,
2008-01,9.884,
2008-02,9.912,
2008-03,9.840,
2008-04,10.488,
2008-05,10.773,
2008-06,11.098,
2008-07,11.047,
2008-08,11.089,
2008-09,11.030,
2008-10,13.271,
2008-11,13.329,
2008-12,13.413,
2009-01,13.124,
2009-02,13.031,
2009-03,12.741,
2009-04,12.858,
2009-05,12.908,
2009-06,10.442,
2009-07,10.523,
2009-08,10.460,
2009-09,10.409,
2009-10,10.313,
2009-11,10.279,
2009-12,8.939,
2010-01,8.474,
2010-02,8.532,
2010-03,7.663,
2010-04,7.707,
2010-05,7.641,
2010-06,7.605,
2010-07,7.623,
2010-08,7.576,
2010-09,7.604,
2010-10,7.607,
2010-11,7.767,
2010-12,7.647,
2011-01,7.619,
2011-02,8.539,
2011-03,9.016,
2011-04,9.706,
2011-05,9.582,
2011-06,9.717,
2011-07,9.763,
2011-08,9.753,
2011-09,9.745,
2011-10,9.771,
2011-11,10.070,
2011-12,10.120,
2012-01,10.521,
2012-02,10.592,
2012-03,10.533,
2012-04,10.621,
2012-05,10.617,
2012-06,10.934,
2012-07,11.056,
2012-08,9.649,
2012-09,9.922,
2012-10,10.190,
2012-11,10.873,
2012-12,11.051,
2013-01,10.641,
2013-02,10.597,
2013-03,10.728,
2013-04,10.620,
2013-05,10.890,
2013-06,10.908,
2013-07,10.628,
2013-08,10.662,
2013-09,10.625,
2013-10,11.110,
2013-11,11.059,
2013-12,11.027,
2014-01,11.083,
2014-02,11.072,
2014-03,10.915,
2014-04,12.410,
2014-05,10.540,
2014-06,11.394,
2014-07,11.098,
2014-08,11.162,
2014-09,9.674,
2014-10,9.633,
2014-11,9.594,
2014-12,9.490,
