"",BBK01.OEBB22R,BBK01.OEBB22R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:37:33,
2002-01,0.070,
2002-04,0.084,
2002-07,0.085,
2002-10,0.094,
2003-01,0.092,
2003-04,0.104,
2003-07,0.104,
2003-10,0.120,
2004-01,0.133,
2004-04,0.144,
2004-07,0.140,
2004-10,0.114,
2005-01,0.149,
2005-04,0.136,
2005-07,0.145,
2005-10,0.112,
2006-01,0.098,
2006-04,0.089,
2006-07,0.117,
2006-10,0.120,
2007-01,0.123,
2007-04,0.079,
2007-07,0.077,
2007-10,0.083,
2008-01,0.136,
2008-04,0.241,
2008-07,0.255,
2008-10,0.132,
2009-01,0.093,
2009-04,0.083,
2009-07,0.080,
2009-10,0.075,
2010-01,0.084,
2010-04,0.092,
2010-07,0.093,
2010-10,0.064,
2011-01,0.058,
2011-04,0.060,
2011-07,0.068,
2011-10,0.062,
2012-01,0.057,
2012-04,0.060,
2012-07,0.066,
2012-10,0.080,
2013-01,0.091,
2013-04,0.121,
2013-07,0.111,
2013-10,0.132,
2014-01,0.138,
2014-04,0.128,
2014-07,0.155,
