"",BBK01.CEHHN0,BBK01.CEHHN0_FLAGS
"",Shares debtor: Rest of the world                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:17:39,
1991-01,2.2,
1991-04,3.7,
1991-07,3.7,
1991-10,2.9,
1992-01,2.0,
1992-04,2.3,
1992-07,1.9,
1992-10,2.2,
1993-01,3.3,
1993-04,1.0,
1993-07,2.2,
1993-10,4.4,
1994-01,6.3,
1994-04,4.3,
1994-07,1.4,
1994-10,2.3,
1995-01,3.3,
1995-04,4.5,
1995-07,1.7,
1995-10,3.6,
1996-01,7.8,
1996-04,2.5,
1996-07,4.0,
1996-10,8.8,
1997-01,17.4,
1997-04,11.7,
1997-07,9.8,
1997-10,13.0,
1998-01,25.9,
1998-04,23.0,
1998-07,13.2,
1998-10,43.5,
1999-01,20.9,
1999-04,15.1,
1999-07,24.1,
1999-10,68.1,
2000-01,52.4,
2000-04,31.9,
2000-07,42.4,
2000-10,-6.8,
2001-01,8.0,
2001-04,46.8,
2001-07,-3.0,
2001-10,4.6,
2002-01,6.1,
2002-04,15.6,
2002-07,4.2,
2002-10,-0.7,
2003-01,-10.3,
2003-04,3.3,
2003-07,-1.9,
2003-10,5.4,
2004-01,5.5,
2004-04,1.1,
2004-07,-5.2,
2004-10,1.6,
2005-01,5.7,
2005-04,1.5,
2005-07,7.4,
2005-10,21.1,
2006-01,13.4,
2006-04,-3.2,
2006-07,11.5,
2006-10,3.1,
2007-01,-16.2,
2007-04,13.6,
2007-07,-2.1,
2007-10,12.4,
2008-01,-8.7,
2008-04,-18.2,
2008-07,-4.8,
2008-10,-30.0,
2009-01,6.0,
2009-04,4.1,
2009-07,6.3,
2009-10,9.0,
2010-01,3.5,
2010-04,12.5,
2010-07,1.9,
2010-10,16.6,
2011-01,2.0,
2011-04,17.1,
2011-07,-5.9,
2011-10,12.4,
2012-01,6.0,
2012-04,-1.7,
2012-07,9.5,
2012-10,24.3,
2013-01,15.0,
2013-04,1.9,
2013-07,16.6,
2013-10,1.3,
2014-01,14.6,
