"",BBSF2.M.1.P.00000.TOT01.I.F.SVG.FI.00013.F03300.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.SVG.FI.00013.F03300.Z01.00_FLAGS
"",Public funds / Funds total / Debt securities total / Finland / General Government,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:38,
2009-09,259,
2009-10,264,
2009-11,299,
2009-12,317,
2010-01,383,
2010-02,453,
2010-03,464,
2010-04,515,
2010-05,513,
2010-06,546,
2010-07,521,
2010-08,559,
2010-09,560,
2010-10,487,
2010-11,481,
2010-12,476,
2011-01,474,
2011-02,498,
2011-03,477,
2011-04,506,
2011-05,506,
2011-06,489,
2011-07,487,
2011-08,520,
2011-09,547,
2011-10,521,
2011-11,498,
2011-12,508,
2012-01,489,
2012-02,463,
2012-03,514,
2012-04,544,
2012-05,493,
2012-06,478,
2012-07,491,
2012-08,460,
2012-09,427,
2012-10,411,
2012-11,440,
2012-12,436,
2013-01,413,
2013-02,490,
2013-03,467,
2013-04,462,
2013-05,436,
2013-06,383,
2013-07,358,
2013-08,366,
2013-09,379,
2013-10,359,
2013-11,359,
2013-12,357,
2014-01,392,
2014-02,388,
2014-03,387,
2014-04,410,
2014-05,424,
2014-06,419,
2014-07,427,
2014-08,445,
2014-09,401,
2014-10,367,
2014-11,366,
