"",BBK01.OELK01K,BBK01.OELK01K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:10:11,
2002-01,0.250,
2002-04,0.256,
2002-07,0.261,
2002-10,0.255,
2003-01,0.285,
2003-04,0.294,
2003-07,0.293,
2003-10,0.299,
2004-01,0.301,
2004-04,0.307,
2004-07,0.321,
2004-10,0.327,
2005-01,0.343,
2005-04,0.349,
2005-07,0.363,
2005-10,0.370,
2006-01,0.360,
2006-04,0.378,
2006-07,0.386,
2006-10,0.393,
2007-01,0.408,
2007-04,0.430,
2007-07,0.418,
2007-10,0.349,
2008-01,0.380,
2008-04,0.385,
2008-07,0.367,
2008-10,0.397,
2009-01,0.380,
2009-04,0.414,
2009-07,0.419,
2009-10,0.440,
2010-01,0.438,
2010-04,0.468,
2010-07,0.481,
2010-10,0.480,
2011-01,0.481,
2011-04,0.500,
2011-07,0.540,
2011-10,0.577,
2012-01,0.557,
2012-04,0.627,
2012-07,0.649,
2012-10,0.683,
2013-01,0.666,
2013-04,0.753,
2013-07,0.776,
2013-10,0.780,
2014-01,0.791,
2014-04,0.819,
2014-07,0.824,
