"",BBK01.OECB23T,BBK01.OECB23T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:40:09,
2002-01,0.006,
2002-04,0.006,
2002-07,0.005,
2002-10,0.005,
2003-01,0.005,
2003-04,0.005,
2003-07,0.006,
2003-10,0.003,
2004-01,0.006,
2004-04,0.006,
2004-07,0.006,
2004-10,0.005,
2005-01,0.005,
2005-04,0.005,
2005-07,0.008,
2005-10,0.007,
2006-01,0.007,
2006-04,0.010,
2006-07,0.009,
2006-10,0.010,
2007-01,0.010,
2007-04,0.009,
2007-07,0.006,
2007-10,0.005,
2008-01,0.005,
2008-04,0.009,
2008-07,0.009,
2008-10,0.011,
2009-01,0.013,
2009-04,0.013,
2009-07,0.012,
2009-10,0.018,
2010-01,0.025,
2010-04,0.025,
2010-07,0.043,
2010-10,0.043,
2011-01,0.045,
2011-04,0.038,
2011-07,0.041,
2011-10,0.041,
2012-01,0.046,
2012-04,0.045,
2012-07,0.020,
2012-10,0.021,
2013-01,0.025,
2013-04,0.026,
2013-07,0.033,
2013-10,0.019,
2014-01,0.017,
2014-04,0.028,
2014-07,0.046,
