"",BBK01.OEAH88O,BBK01.OEAH88O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:28:21,
2002-01,-2.413,
2002-04,-0.858,
2002-07,-0.457,
2002-10,-2.631,
2003-01,0.532,
2003-04,0.506,
2003-07,-0.623,
2003-10,0.313,
2004-01,0.528,
2004-04,0.722,
2004-07,0.617,
2004-10,0.470,
2005-01,0.889,
2005-04,0.908,
2005-07,1.264,
2005-10,1.156,
2006-01,0.970,
2006-04,1.099,
2006-07,1.276,
2006-10,0.921,
2007-01,0.777,
2007-04,1.202,
2007-07,0.783,
2007-10,0.754,
2008-01,1.292,
2008-04,0.741,
2008-07,0.667,
2008-10,0.676,
2009-01,0.584,
2009-04,0.549,
2009-07,0.548,
2009-10,0.465,
2010-01,0.647,
2010-04,0.621,
2010-07,0.696,
2010-10,0.495,
2011-01,0.508,
2011-04,0.341,
2011-07,0.340,
2011-10,0.313,
2012-01,0.316,
2012-04,0.277,
2012-07,0.232,
2012-10,0.249,
2013-01,0.270,
2013-04,0.335,
2013-07,0.274,
2013-10,0.291,
2014-01,0.347,
2014-04,0.337,
2014-07,0.277,
