"",BBK01.OEAF39O,BBK01.OEAF39O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:09:07,
2002-01,0.059,
2002-04,0.063,
2002-07,0.065,
2002-10,0.059,
2003-01,0.057,
2003-04,0.067,
2003-07,0.062,
2003-10,0.060,
2004-01,0.065,
2004-04,0.068,
2004-07,0.068,
2004-10,0.070,
2005-01,0.066,
2005-04,0.110,
2005-07,0.099,
2005-10,0.105,
2006-01,0.121,
2006-04,0.118,
2006-07,0.121,
2006-10,0.125,
2007-01,0.134,
2007-04,0.131,
2007-07,0.131,
2007-10,0.126,
2008-01,0.121,
2008-04,0.116,
2008-07,0.117,
2008-10,0.075,
2009-01,0.069,
2009-04,0.080,
2009-07,0.080,
2009-10,0.080,
2010-01,0.080,
2010-04,0.080,
2010-07,0.080,
2010-10,0.083,
2011-01,0.074,
2011-04,0.071,
2011-07,0.073,
2011-10,0.077,
2012-01,0.105,
2012-04,0.109,
2012-07,0.108,
2012-10,0.101,
2013-01,0.099,
2013-04,0.127,
2013-07,0.125,
2013-10,0.130,
2014-01,0.133,
2014-04,0.133,
2014-07,0.132,
